                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4545,                 1.6877,                 1.2781,                 1.6586,                 2.0505,                  1.267,                0.61352,                0.41176,                0.44717,                0.22181,                 1.8019,                  1.506,                 1.5804,                 1.9356,                 2.0246,                 1.4757,                  2e-05,                  2e-05,                  2e-05
                      2,                 1.4193,                 1.5523,                  1.264,                 1.6253,                 1.9196,                 1.2464,                0.51039,                0.47405,                0.44724,                0.22413,                 1.7959,                 1.5198,                 1.5728,                 1.9256,                 2.0211,                 1.4854,             5.9881e-05,             5.9881e-05,             5.9881e-05
                      3,                 1.4514,                 1.6434,                 1.2968,                 1.6393,                 2.0076,                   1.27,                0.54357,                0.44291,                0.44301,                0.22426,                 1.7969,                 1.5281,                 1.5761,                 1.9261,                  2.026,                 1.4928,             9.9604e-05,             9.9604e-05,             9.9604e-05
                      4,                 1.4071,                 1.5834,                 1.2763,                 1.6228,                 1.9397,                 1.2573,                0.54139,                0.49481,                0.46084,                0.22851,                 1.7789,                 1.4937,                 1.5589,                  1.899,                 1.9964,                 1.4701,             0.00013917,             0.00013917,             0.00013917
                      5,                 1.2228,                 1.3451,                 1.1399,                 1.4309,                 1.6439,                 1.1322,                0.47658,                0.49135,                0.43368,                0.20183,                 1.8841,                 1.5547,                 1.6507,                 2.0184,                 2.0701,                 1.5362,             0.00017857,             0.00017857,             0.00017857
                      6,                  1.085,                 1.0546,                 1.0641,                 1.3508,                 1.3137,                 1.0729,                 0.5124,                0.44361,                0.39134,                0.17792,                 1.9362,                 1.7139,                 1.7249,                 2.0903,                 2.2327,                 1.6118,             0.00021782,             0.00021782,             0.00021782
                      7,                 1.0431,                  0.885,                 1.0487,                 1.2786,                 1.1411,                 1.0692,                0.50249,                0.46481,                0.38902,                0.17578,                 1.9135,                 1.8242,                 1.7013,                 2.0873,                  2.331,                 1.5883,             0.00025691,             0.00025691,             0.00025691
                      8,                 1.0136,                0.81404,                 1.0433,                 1.2774,                 1.0772,                 1.0671,                0.48161,                0.49135,                0.39867,                0.17867,                 1.8346,                  1.849,                 1.6304,                 2.0223,                 2.3723,                 1.5477,             0.00029584,             0.00029584,             0.00029584
                      9,                 1.0163,                0.77893,                 1.0236,                 1.2789,                 1.0156,                 1.0422,                0.53609,                0.44983,                0.38076,                0.17474,                 1.8339,                 1.8598,                 1.6226,                 2.0155,                 2.4678,                 1.5204,             0.00033461,             0.00033461,             0.00033461
                     10,                 1.0465,                 0.7693,                 1.0456,                 1.3033,                 1.0494,                 1.0575,                0.57616,                0.44215,                0.37431,                0.17266,                 1.8777,                 1.8928,                 1.6348,                 2.0344,                 2.5044,                 1.5205,             0.00037323,             0.00037323,             0.00037323
