epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.03744,2.9444,3.58881,2.50538,0.5647,0.4399,0.45575,0.22603,3.72895,3.52669,3.05053,4e-05,4e-05,4e-05
2,7.82497,3.04557,3.47956,2.51596,0.60778,0.42215,0.4475,0.22745,3.71789,3.53742,3.07472,9.9802e-05,9.9802e-05,9.9802e-05
3,9.62874,2.702,2.98609,2.32863,0.52187,0.51211,0.45742,0.21686,3.79374,3.58959,3.08807,0.000159366,0.000159366,0.000159366
4,11.5015,2.55416,2.47638,2.22895,0.46285,0.47405,0.37726,0.16854,4.08341,4.04468,3.37865,0.000218693,0.000218693,0.000218693
5,13.4036,2.42046,2.07308,2.12346,0.43921,0.46021,0.34883,0.16065,4.06141,4.28904,3.35988,0.000277782,0.000277782,0.000277782
6,15.4032,2.28419,1.8581,2.05983,0.52792,0.43599,0.35748,0.16975,3.8829,4.5833,3.22738,0.000336634,0.000336634,0.000336634
7,17.3393,2.34225,1.76461,2.07839,0.53854,0.43253,0.36504,0.16548,3.96866,4.67891,3.23023,0.000395248,0.000395248,0.000395248
8,19.2807,2.16857,1.6437,2.01198,0.48585,0.40138,0.33163,0.15287,4.04566,4.86402,3.28589,0.000453624,0.000453624,0.000453624
9,21.1178,2.24847,1.6355,2.00311,0.4955,0.42561,0.33959,0.14924,4.02673,4.73666,3.3454,0.000511763,0.000511763,0.000511763
10,22.8823,2.15298,1.63836,2.02007,0.49773,0.43945,0.34553,0.15093,3.92771,4.4547,3.29967,0.000569664,0.000569664,0.000569664
11,24.6515,2.22178,1.67043,2.02302,0.46009,0.45998,0.36202,0.15726,4.00606,3.96082,3.31347,0.000627328,0.000627328,0.000627328
12,26.5401,2.1911,1.6282,1.99178,0.45828,0.44983,0.36516,0.16455,3.9189,3.91369,3.24389,0.000684754,0.000684754,0.000684754
13,28.3519,2.23943,1.58887,2.02193,0.52236,0.38408,0.34574,0.16127,4.00885,3.90111,3.35217,0.000741942,0.000741942,0.000741942
14,30.2122,2.16863,1.59102,2.0119,0.55503,0.43253,0.39819,0.18557,3.89088,3.86176,3.22734,0.000798893,0.000798893,0.000798893
15,32.0064,2.10852,1.55185,1.98908,0.5694,0.43468,0.41256,0.19538,3.85381,3.84688,3.17911,0.000855606,0.000855606,0.000855606
16,33.912,2.01364,1.49806,1.97504,0.498,0.47059,0.40124,0.18674,3.8313,3.8505,3.20345,0.000912082,0.000912082,0.000912082
17,35.705,2.02981,1.48171,1.98028,0.54609,0.49827,0.43023,0.18939,3.82825,3.77321,3.19619,0.00096832,0.00096832,0.00096832
18,37.5777,2.16161,1.50932,2.01215,0.52691,0.48789,0.42081,0.18836,3.93576,3.87258,3.24436,0.00102432,0.00102432,0.00102432
19,39.435,2.22182,1.56559,2.02058,0.53487,0.46713,0.41044,0.17669,3.98039,3.98486,3.31974,0.00108008,0.00108008,0.00108008
20,41.2836,2.09444,1.49247,1.9774,0.52688,0.47751,0.40389,0.16989,3.93256,3.99135,3.2957,0.00113561,0.00113561,0.00113561
21,43.0746,2.14361,1.52598,1.99757,0.54092,0.47405,0.40897,0.17117,3.99475,3.8341,3.39496,0.0011909,0.0011909,0.0011909
22,44.8601,2.07901,1.47856,1.97469,0.46938,0.49135,0.38852,0.17045,3.92142,3.84128,3.30601,0.00124595,0.00124595,0.00124595
23,46.6853,2.21564,1.55957,2.00861,0.48049,0.48097,0.37135,0.16536,3.91869,3.86646,3.25027,0.00130076,0.00130076,0.00130076
24,48.4822,2.12691,1.51062,2.01499,0.50667,0.44291,0.3859,0.17953,3.88974,3.89577,3.17336,0.00135533,0.00135533,0.00135533
25,50.2936,2.06034,1.48817,1.99308,0.51718,0.44291,0.39463,0.18785,3.91426,3.97329,3.21442,0.00140967,0.00140967,0.00140967
26,52.0612,2.15957,1.50967,1.99067,0.5574,0.44291,0.41871,0.19125,3.93494,4.07596,3.16752,0.00146377,0.00146377,0.00146377
27,53.9173,2.17701,1.54303,1.99095,0.49637,0.48426,0.41767,0.18636,3.94035,3.73977,3.19258,0.00151763,0.00151763,0.00151763
28,55.7169,2.14685,1.53978,2.00042,0.49324,0.49135,0.42244,0.19144,3.98097,3.79761,3.27441,0.00157126,0.00157126,0.00157126
29,57.4263,2.23405,1.58977,2.03491,0.60331,0.43599,0.43507,0.1897,3.93439,3.92527,3.2187,0.00162464,0.00162464,0.00162464
30,59.2713,2.13087,1.50674,1.99405,0.48139,0.44291,0.40312,0.18864,3.95609,4.03558,3.28674,0.00167779,0.00167779,0.00167779
31,61.019,2.22527,1.52007,2.03341,0.59188,0.35986,0.39007,0.18506,3.85596,4.15126,3.20672,0.0017307,0.0017307,0.0017307
32,62.855,2.21431,1.59185,2.04151,0.48158,0.38572,0.3609,0.15927,3.87357,4.18264,3.19153,0.00178338,0.00178338,0.00178338
33,64.6896,2.24974,1.60098,2.0266,0.47229,0.39446,0.35302,0.1512,3.9936,4.00967,3.3346,0.00183581,0.00183581,0.00183581
34,66.5213,2.31734,1.66978,2.04907,0.473,0.41522,0.34293,0.15937,3.99412,4.00993,3.40364,0.00186932,0.00186932,0.00186932
35,68.3212,2.19468,1.58749,2.02274,0.49446,0.38408,0.32247,0.14932,3.95523,4.04959,3.46467,0.00186536,0.00186536,0.00186536
36,70.1937,2.27835,1.61777,2.00566,0.50461,0.4083,0.37325,0.15895,4.07251,3.87916,3.42684,0.0018614,0.0018614,0.0018614
37,71.9454,2.20202,1.53742,2.00735,0.50611,0.35294,0.31028,0.13547,4.25527,4.44373,3.61148,0.00185744,0.00185744,0.00185744
38,73.6934,2.19485,1.57152,1.9925,0.45996,0.40484,0.3397,0.13845,4.19102,4.41623,3.53475,0.00185348,0.00185348,0.00185348
39,75.6327,2.23407,1.57093,2.0117,0.47694,0.43945,0.38281,0.16034,4.23316,4.2581,3.47083,0.00184952,0.00184952,0.00184952
40,77.4665,2.23511,1.57549,2.00863,0.492,0.45675,0.40777,0.17004,4.33161,3.85546,3.58284,0.00184556,0.00184556,0.00184556
41,79.2192,2.17921,1.56065,2.03163,0.58131,0.43599,0.40134,0.17975,4.10358,3.8725,3.43349,0.0018416,0.0018416,0.0018416
42,80.9565,2.23991,1.58808,2.01922,0.54617,0.42561,0.39559,0.20544,3.83025,4.10528,3.165,0.00183764,0.00183764,0.00183764
43,82.7164,2.26039,1.66107,2.0364,0.58203,0.38062,0.37835,0.18945,3.9298,4.38745,3.22098,0.00183368,0.00183368,0.00183368
44,84.5059,2.19017,1.56816,2.02236,0.51643,0.41869,0.39375,0.18765,3.98304,4.13948,3.26121,0.00182972,0.00182972,0.00182972
45,86.2517,2.19502,1.61502,2.01452,0.5014,0.41755,0.35516,0.16799,4.13616,4.20462,3.38912,0.00182576,0.00182576,0.00182576
46,88.0247,2.22443,1.60452,2.03269,0.51877,0.39446,0.37451,0.17777,4.11962,4.29745,3.34593,0.0018218,0.0018218,0.0018218
