                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2624,                 3.8223,                 2.0552,                 2.1718,                 4.1943,                 1.7704,                0.00267,                0.12457,                0.00157,                0.00043,                 2.8999,                 3.7529,                 2.9244,                 2.7259,                 4.4858,                 2.4293,                 0.0001,                 0.0001,                 0.0001
                      2,                 1.9041,                 3.8408,                 1.8454,                 1.8384,                 3.9808,                 1.5984,                0.09149,                0.09689,                0.04794,                0.01797,                 1.8675,                 6.9288,                 1.7426,                  1.745,                 4.1366,                 1.5076,             0.00021956,             0.00021956,             0.00021956
                      3,                 1.7609,                 2.3529,                 1.6349,                 1.7916,                 3.1825,                  1.488,                 0.0023,                0.10727,                0.00148,                0.00038,                 3.3973,                 5.7094,                 3.3343,                  3.392,                 5.2771,                 3.2314,             0.00033865,             0.00033865,             0.00033865
                      4,                 1.7647,                 2.0286,                 1.6385,                 1.8701,                 2.6984,                 1.5371,                0.00156,                0.07266,                0.00086,                0.00024,                  4.584,                 6.8911,                 7.1287,                  4.356,                    6.8,                 4.7878,             0.00045727,             0.00045727,             0.00045727
                      5,                  1.779,                 1.9556,                 1.6331,                 1.9413,                 2.4502,                 1.5398,                0.00212,                0.00692,                0.00049,                0.00017,                 4.5028,                 20.525,                 117.39,                 5.6114,                 1519.2,                 353.13,             0.00057541,             0.00057541,             0.00057541
                      6,                 1.8846,                 1.9213,                 1.6841,                 1.9934,                 2.4217,                 1.5784,                0.00126,                0.05882,                0.00072,                0.00017,                 4.7008,                 2741.7,                 216.56,                 5.3548,              2.471e+05,                 1426.2,             0.00069307,             0.00069307,             0.00069307
                      7,                 1.9635,                 1.9465,                 1.7499,                 2.0824,                 2.3982,                 1.6562,                0.00044,                0.02076,                0.00023,                  5e-05,                  4.004,                 263.04,                 127.54,                 4.0762,                 183.28,                 19.772,             0.00081026,             0.00081026,             0.00081026
                      8,                 1.8904,                 1.9492,                 1.7108,                 2.0945,                 2.3772,                 1.6461,                  7e-05,                0.00346,                  4e-05,                  1e-05,                 4.1281,                  36981,                 2687.3,                      0,              2.185e+05,                      0,             0.00092697,             0.00092697,             0.00092697
                      9,                 1.8927,                 1.9359,                 1.7108,                 2.0264,                 2.3559,                 1.6347,                0.00037,                 0.0173,                0.00019,                  2e-05,                 4.9852,                 422.13,                 45.824,                 4.2476,                 33.343,                 27.692,              0.0010432,              0.0010432,              0.0010432
                     10,                    1.8,                  1.742,                 1.6303,                 1.9392,                 2.1666,                 1.5494,                0.03226,                0.00346,                0.00507,                0.00154,                 4.5441,                 110.09,                 44.876,                 4.2277,                 44.233,                 26.786,               0.001159,               0.001159,               0.001159
                     11,                  1.801,                 1.7886,                  1.656,                 1.9693,                 2.1907,                 1.6147,                0.00447,                0.05536,                0.00152,                0.00051,                 4.0931,                 995.27,                 63.885,                  3.998,                 136.25,                 42.222,              0.0012743,              0.0012743,              0.0012743
                     12,                 1.8027,                 1.7861,                 1.6876,                  1.991,                 2.2129,                 1.6353,                0.01506,                0.10727,                  0.006,                0.00252,                 3.5577,                 406.86,                  149.3,                 3.3073,                  185.6,                 28.866,              0.0013891,              0.0013891,              0.0013891
                     13,                 1.8001,                 1.7675,                 1.6429,                  1.959,                 2.2443,                   1.58,                0.15744,                0.13841,                0.04825,                0.01835,                 2.5677,                 14.461,                 4.8485,                 2.5567,                 7.7724,                 3.2715,              0.0015034,              0.0015034,              0.0015034
                     14,                 1.8062,                 1.8041,                 1.6436,                 1.9071,                 2.4032,                 1.5482,                0.09937,                0.16955,                 0.0456,                0.01361,                 2.9036,                   5.98,                 3.6426,                  2.821,                 3.9051,                 2.8273,              0.0016173,              0.0016173,              0.0016173
                     15,                 1.7004,                  1.743,                 1.6262,                 1.8127,                 2.2907,                  1.544,                0.13575,                0.09689,                0.04495,                0.01684,                 3.5601,                 4.2768,                 4.3439,                 3.0202,                 3.8157,                 2.8492,              0.0017307,              0.0017307,              0.0017307
