                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7088,                 8.3998,                 1.5708,                 1.7078,                 8.6437,                 1.4324,                0.20368,                0.03114,                0.01606,                0.00564,                0.05609,                  24.76,                0.05212,                0.05526,                 3.1631,                0.04741,              0.0032997,              0.0032997,              0.0032997
                      2,                 1.9291,                 3.2376,                 1.7443,                 1.9976,                 3.2137,                  1.632,                0.00749,                0.11419,                 0.0029,                0.00086,                0.07792,                 727.66,                0.06499,                0.07467,                 152.99,                0.05845,              0.0066264,              0.0066264,              0.0066264
                      3,                 2.4421,                 3.7436,                 2.0343,                 2.3841,                 3.8204,                  1.882,                 0.0002,                0.42561,                0.00091,                0.00023,                0.10511,                 258.83,                0.14329,                0.09708,                 114.43,                0.09369,              0.0099466,              0.0099466,              0.0099466
                      4,                  2.973,                  3.653,                  2.457,                  2.884,                 4.0156,                 2.2297,                  5e-05,                0.11073,                  4e-05,                  1e-05,                0.11251,                 26.832,                 0.2931,                 0.1117,                 127.04,                0.35837,              0.0099703,              0.0099703,              0.0099703
                      5,                 2.9858,                 3.3992,                 2.5891,                 2.8571,                 4.0144,                  2.334,                  8e-05,                0.16609,                  7e-05,                  2e-05,                0.09409,                 906.02,                0.08895,                0.09171,                 233.16,                0.08173,              0.0099703,              0.0099703,              0.0099703
                      6,                 2.9684,                 3.4602,                 2.4909,                 2.7497,                 3.7592,                 2.1553,                0.00019,                0.40484,                0.01624,                 0.0047,                0.08811,                 171.12,                0.08554,                0.08422,                 81.224,                0.07261,              0.0099604,              0.0099604,              0.0099604
                      7,                 2.8585,                 3.3129,                 2.4201,                 2.7123,                 3.6562,                 2.1379,                0.00016,                0.34602,                0.00403,                0.00102,                0.09416,                 53.665,                0.08376,                0.09331,                 17.833,                0.07686,              0.0099505,              0.0099505,              0.0099505
                      8,                 2.7618,                 3.5777,                 2.3688,                  2.666,                 3.7122,                 2.0807,                0.00021,                0.43599,                0.00547,                0.00151,                0.08741,                 96.334,                0.07882,                0.08686,                 52.801,                0.06778,              0.0099406,              0.0099406,              0.0099406
                      9,                  2.686,                 3.1665,                 2.2982,                 2.5962,                 3.5753,                 2.0781,                0.00023,                0.49481,                0.00885,                0.00315,                0.08446,                  142.9,                0.07666,                0.08373,                 33.921,                0.06968,              0.0099307,              0.0099307,              0.0099307
                     10,                  2.618,                 3.2473,                 2.2312,                  2.513,                 3.4464,                 2.0532,                0.00026,                0.55017,                0.00406,                 0.0013,                0.08538,                 92.435,                 0.0773,                0.08243,                  27.84,                0.06759,              0.0099208,              0.0099208,              0.0099208
                     11,                 2.5786,                 2.9316,                 2.2863,                 2.5755,                 3.4388,                 2.0756,                0.00149,                0.43945,                0.00404,                0.00143,                0.08763,                 44.244,                0.08167,                0.08618,                 12.922,                0.07218,              0.0099109,              0.0099109,              0.0099109
                     12,                 2.5946,                 2.9311,                 2.2309,                 2.5398,                 3.3737,                 1.9822,                 0.0003,                 0.6263,                0.01964,                 0.0053,                0.07854,                 57.789,                0.07142,                0.07809,                 19.058,                 0.0654,               0.009901,               0.009901,               0.009901
                     13,                 2.5931,                 2.9793,                 2.1597,                 2.5146,                 3.3321,                 1.9501,                0.02736,                 0.0519,                0.00758,                 0.0025,                0.08142,                 82.217,                0.07652,                0.07708,                 28.615,                0.06492,              0.0098911,              0.0098911,              0.0098911
