                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3558,                 16.082,                 1.2757,                 1.3616,                 18.819,                 1.1792,                 0.5973,                0.03114,                0.08466,                0.03353,                0.05998,                 3.1237,                0.05674,                 0.0596,                0.93283,                0.05129,              0.0033165,              0.0033165,              0.0033165
                      2,                 1.8637,                 3.3769,                 1.5991,                 1.8481,                  3.129,                 1.4438,                0.00024,                0.51903,                0.00349,                0.00102,                0.07774,                 3.7272,                 0.0692,                 0.0803,                 4.5773,                0.06542,              0.0066432,              0.0066432,              0.0066432
                      3,                 2.1899,                  3.318,                 1.8697,                 2.0726,                 3.2838,                   1.61,                  7e-05,                0.14187,                 0.0001,                  4e-05,                0.10988,                 12.251,                0.11011,                0.12158,                 7.6288,                0.11338,              0.0099634,              0.0099634,              0.0099634
                      4,                 2.6326,                 3.6131,                 2.3225,                 2.3708,                 3.6759,                 2.0847,                  8e-05,                0.16955,                0.00046,                0.00012,                0.09585,                 79.722,                0.09912,                0.09539,                 46.924,                0.09996,              0.0099703,              0.0099703,              0.0099703
                      5,                 2.7969,                  3.452,                 2.4021,                 2.5776,                 3.6889,                 2.2576,                  2e-05,                0.04844,                  1e-05,                  1e-05,                0.12155,                 44.634,                0.14576,                0.12047,                 22.324,                0.12199,              0.0099703,              0.0099703,              0.0099703
                      6,                  2.799,                 3.2998,                 2.2919,                 2.5103,                 3.4635,                 2.1814,                0.00013,                0.28028,                 0.0002,                  6e-05,                0.09878,                  77.81,                0.08985,                0.09848,                 33.074,                0.08139,              0.0099604,              0.0099604,              0.0099604
                      7,                 2.6877,                 3.2077,                 2.1717,                 2.4295,                 3.3398,                 1.9529,                0.00015,                0.30796,                0.00375,                0.00096,                0.10125,                 6.5072,                0.08795,                0.09035,                 3.8845,                0.08415,              0.0099505,              0.0099505,              0.0099505
                      8,                 2.5007,                 2.9732,                 2.1008,                 2.2663,                  3.107,                 1.9048,                0.00022,                0.46367,                  0.014,                0.00351,                0.10122,                 7.7233,                0.08804,                0.09109,                 5.4734,                0.07721,              0.0099406,              0.0099406,              0.0099406
                      9,                 2.5602,                 3.1615,                 2.1807,                 2.3636,                 3.3333,                 1.9915,                 0.0002,                0.42561,                0.00163,                0.00048,                 0.0908,                 17.984,                0.08123,                0.09092,                 6.3855,                0.07786,              0.0099307,              0.0099307,              0.0099307
                     10,                 2.4555,                 2.9277,                 2.0983,                 2.3154,                 3.1569,                 1.9817,                0.00024,                0.51211,                0.02322,                 0.0059,                0.09365,                 7.0142,                0.08211,                0.08636,                 3.2084,                0.07892,              0.0099208,              0.0099208,              0.0099208
                     11,                 2.5019,                 2.7995,                 2.1273,                 2.3579,                 3.1125,                 1.9976,                0.00018,                  0.391,                0.00056,                0.00019,                0.09731,                0.97537,                 0.0869,                0.08934,                0.82616,                0.07996,              0.0099109,              0.0099109,              0.0099109
                     12,                 2.5078,                 2.9015,                 2.0861,                 2.2853,                 3.0778,                 1.9244,                0.00021,                0.44291,                0.00615,                0.00176,                0.08995,                 19.886,                0.07878,                0.08678,                 9.6817,                0.07927,               0.009901,               0.009901,               0.009901
                     13,                 2.5635,                 2.9332,                 2.0634,                 2.3464,                 3.0705,                 1.9216,                0.00026,                0.54325,                0.00843,                0.00238,                0.08687,                 16.667,                0.07734,                0.08204,                 7.6944,                0.07169,              0.0098911,              0.0098911,              0.0098911
                     14,                 2.3955,                 2.7357,                  1.984,                  2.221,                 2.9279,                 1.8359,                0.00028,                0.59516,                0.02049,                0.00547,                0.08682,                 6.6609,                0.07732,                0.08437,                 4.9256,                0.07135,              0.0098812,              0.0098812,              0.0098812
                     15,                 2.4897,                 2.7463,                 2.0577,                 2.3196,                 2.9849,                 1.9565,                0.00017,                 0.3564,                0.00205,                 0.0006,                0.09157,                 9.3481,                0.08235,                0.08675,                 5.2595,                0.07575,              0.0098713,              0.0098713,              0.0098713
                     16,                 2.3786,                 2.8091,                 1.9962,                 2.2548,                 3.0574,                 1.9199,                0.00026,                0.55709,                0.04288,                0.01371,                0.08264,                 19.726,                0.07473,                0.08054,                 9.2951,                0.06893,              0.0098614,              0.0098614,              0.0098614
                     17,                 2.2998,                 2.6751,                 1.9917,                 2.1495,                 2.9688,                 1.8706,                0.00028,                0.59516,                0.03155,                0.00976,                0.08292,                   11.8,                0.07492,                 0.0772,                 4.9623,                0.06977,              0.0098515,              0.0098515,              0.0098515
                     18,                 2.2451,                 2.5062,                 1.8507,                 2.0801,                 2.7483,                 1.7454,                0.00029,                0.61938,                0.03413,                0.00876,                0.07934,                 5.6986,                 0.0698,                0.08038,                 2.2264,                0.06502,              0.0098416,              0.0098416,              0.0098416
                     19,                 2.3526,                 2.6486,                 1.9328,                 2.1867,                 2.8859,                 1.7755,                0.00027,                0.57785,                0.02308,                0.00774,                 0.0789,                 9.0046,                0.06955,                0.07722,                 3.5402,                0.06615,              0.0098317,              0.0098317,              0.0098317
                     20,                 2.1939,                 2.6199,                 1.8246,                 1.9396,                 2.7878,                 1.6488,                0.00029,                0.62284,                0.02121,                0.00723,                 0.0827,                  8.197,                0.07331,                0.07819,                 2.5238,                0.06574,              0.0098218,              0.0098218,              0.0098218
                     21,                  2.202,                 2.4643,                 1.7584,                 1.9914,                 2.6216,                 1.5796,                0.00026,                0.54325,                0.02834,                0.00864,                0.08071,                 2.7288,                0.07196,                0.07601,                 1.3816,                0.06572,              0.0098119,              0.0098119,              0.0098119
