                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7185,                 15.471,                 1.5575,                 1.7362,                 20.652,                 1.4309,                0.13031,                0.16609,                0.06098,                0.01959,                0.06421,                 49.883,                0.05891,                0.06625,                 7.0048,                  0.053,              0.0032997,              0.0032997,              0.0032997
                      2,                 1.9512,                 3.1999,                  1.703,                  2.053,                 3.2898,                 1.5953,                0.01052,                0.06574,                0.00304,                0.00095,                0.07631,                 500.65,                0.07185,                0.07479,                 284.34,                 0.0607,              0.0066264,              0.0066264,              0.0066264
                      3,                 2.4844,                 3.7723,                 2.0567,                 2.4307,                 4.0003,                 1.9454,                0.00225,                0.14533,                0.00053,                0.00012,                 0.1007,                 841.46,                   0.12,                0.09542,                 607.81,                0.10442,              0.0099466,              0.0099466,              0.0099466
                      4,                 2.9763,                 3.5178,                  2.346,                 2.8243,                 3.9876,                 2.1845,                0.00165,                0.13149,                0.00162,                0.00034,                0.12489,                  466.8,                0.11535,                0.10394,                 155.75,                0.10499,              0.0099703,              0.0099703,              0.0099703
                      5,                  2.953,                 3.4099,                 2.4566,                 2.8169,                 4.0217,                 2.3159,                0.02075,                0.04844,                 0.0048,                0.00104,                0.10102,                 2041.1,                0.08768,                0.09211,                 353.75,                0.08868,              0.0099703,              0.0099703,              0.0099703
                      6,                 2.8637,                 3.5908,                 2.3113,                 2.6763,                 3.8176,                 2.1043,                0.00025,                0.52941,                0.01887,                 0.0065,                0.09303,                 46.233,                0.09055,                0.08641,                 63.746,                0.08193,              0.0099604,              0.0099604,              0.0099604
                      7,                 2.8029,                  3.451,                 2.3054,                  2.609,                 3.7811,                 2.1187,                0.00017,                0.37024,                0.00275,                0.00087,                0.08519,                  277.1,                0.07433,                0.09458,                 84.397,                0.07382,              0.0099505,              0.0099505,              0.0099505
                      8,                 2.7008,                 3.5781,                 2.2387,                 2.5887,                 3.7265,                 2.1382,                0.00022,                0.47059,                0.00191,                0.00053,                0.09191,                 92.403,                0.07649,                0.08761,                 82.142,                0.07508,              0.0099406,              0.0099406,              0.0099406
                      9,                  2.584,                 3.1843,                 2.1946,                 2.4372,                 3.5798,                 2.0489,                0.00022,                0.46021,                0.00118,                0.00047,                0.08571,                 454.23,                0.07543,                0.08571,                 116.67,                0.06907,              0.0099307,              0.0099307,              0.0099307
                     10,                  2.539,                 3.3421,                 2.1429,                 2.3956,                 3.4853,                 2.0393,                0.00387,                0.51211,                0.04571,                0.01314,                0.08454,                 20.759,                0.07181,                0.07808,                 2.8247,                0.06707,              0.0099208,              0.0099208,              0.0099208
                     11,                 2.5836,                 2.9987,                 2.1832,                 2.4879,                 3.4764,                 2.0973,                0.00114,                0.37024,                0.00232,                0.00061,                0.09097,                 251.94,                 0.0817,                0.08679,                 71.793,                0.07226,              0.0099109,              0.0099109,              0.0099109
                     12,                 2.6407,                 2.9503,                 2.1744,                  2.616,                 3.3502,                 2.0384,                0.00674,                0.26644,                0.00774,                0.00253,                0.07823,                 251.68,                0.06873,                0.07851,                 78.255,                0.06604,               0.009901,               0.009901,               0.009901
                     13,                 2.5793,                 3.0927,                  2.116,                 2.4676,                 3.3457,                   1.96,                0.00023,                0.48097,                0.00424,                0.00137,                0.08323,                 16.583,                0.07234,                0.07732,                 6.3031,                0.06577,              0.0098911,              0.0098911,              0.0098911
                     14,                 2.4127,                 2.8195,                 2.0918,                 2.3751,                 3.2463,                 1.9553,                0.09953,                0.07958,                0.03174,                0.01064,                 0.0771,                 53.139,                0.06949,                0.07742,                 8.0149,                0.06475,              0.0098812,              0.0098812,              0.0098812
                     15,                 2.3424,                 2.8214,                 2.0306,                 2.3481,                 3.1454,                 1.9554,                0.02134,                0.04844,                 0.0064,                0.00218,                0.07438,                 204.91,                0.06721,                0.07603,                 70.936,                0.06501,              0.0098713,              0.0098713,              0.0098713
                     16,                  2.428,                 2.7083,                 2.0299,                 2.3896,                 3.1263,                 1.9087,                0.09329,                0.13495,                0.04514,                0.01822,                0.07473,                 45.136,                0.06722,                0.07547,                 10.859,                0.06409,              0.0098614,              0.0098614,              0.0098614
                     17,                 2.3929,                 2.6785,                  2.042,                 2.3343,                 3.1331,                 1.9041,                0.09758,                0.03114,                0.04202,                0.01465,                0.07394,                 19.298,                0.06673,                0.07518,                 6.2674,                0.06529,              0.0098515,              0.0098515,              0.0098515
                     18,                 2.2998,                 2.5684,                 1.9655,                 2.2468,                 2.9939,                 1.8481,                0.05274,                0.09343,                0.03346,                0.01124,                0.07479,                 55.894,                0.06745,                0.07427,                 16.284,                0.06032,              0.0098416,              0.0098416,              0.0098416
                     19,                 2.3897,                 2.5924,                 1.9827,                 2.4194,                 3.0642,                   1.86,                0.12505,                0.07958,                0.04954,                0.01931,                0.07589,                 30.277,                0.06611,                0.07357,                  7.489,                0.05988,              0.0098317,              0.0098317,              0.0098317
                     20,                 2.3728,                 2.6697,                 1.9909,                 2.3426,                 3.0817,                 1.8426,                0.14644,                0.17647,                0.07087,                0.02932,                0.07283,                 18.036,                0.06582,                0.07588,                 3.3866,                0.06213,              0.0098218,              0.0098218,              0.0098218
                     21,                 2.2437,                 2.4898,                 1.8966,                 2.2365,                 2.8743,                 1.8024,                0.12339,                0.08997,                0.05469,                0.02158,                 0.0711,                 25.509,                0.06336,                0.07208,                 6.7041,                0.06057,              0.0098119,              0.0098119,              0.0098119
                     22,                 2.3529,                 2.6345,                 1.9983,                  2.303,                 3.0591,                 1.8325,                0.26847,                0.03176,                0.05448,                   0.02,                0.07563,                  5.804,                0.06723,                0.07454,                 1.6454,                0.06173,               0.009802,               0.009802,               0.009802
                     23,                 2.3694,                 2.7541,                 1.9583,                 2.3448,                 3.0372,                 1.8004,                0.13084,                0.09343,                0.02981,                0.00917,                0.07467,                 80.222,                0.06543,                0.07231,                 33.092,                0.06063,              0.0097921,              0.0097921,              0.0097921
                     24,                 2.2612,                 2.4428,                 1.9507,                 2.2626,                 2.9224,                 1.8105,                0.14369,                0.02422,                0.03765,                0.01653,                0.07093,                  56.78,                0.06644,                0.07188,                 14.754,                0.06006,              0.0097822,              0.0097822,              0.0097822
                     25,                 2.3789,                  2.521,                 1.9802,                 2.3704,                 2.9631,                 1.8371,                0.00057,                0.06228,                0.00035,                0.00012,                0.07781,                 37.478,                0.06629,                0.07579,                 12.097,                0.06361,              0.0097723,              0.0097723,              0.0097723
                     26,                 2.1538,                 2.4479,                 1.8859,                 2.1656,                 2.8764,                 1.7713,                0.13202,                0.08651,                0.06603,                0.02714,                0.06956,                 33.111,                0.06369,                0.06801,                 6.6289,                0.05609,              0.0097624,              0.0097624,              0.0097624
                     27,                 2.2189,                 2.5624,                 1.8572,                 2.1899,                 2.8664,                 1.6761,                0.10887,                0.11073,                0.05982,                0.02061,                0.06951,                 51.492,                0.06417,                0.06843,                 15.863,                0.05832,              0.0097525,              0.0097525,              0.0097525
                     28,                  2.233,                 2.3482,                 1.8987,                 2.1908,                 2.8039,                 1.7779,                0.19382,                0.13841,                0.09516,                0.03792,                0.07231,                 18.791,                0.06476,                 0.0719,                 4.1591,                0.05981,              0.0097426,              0.0097426,              0.0097426
                     29,                 2.2457,                  2.416,                 1.9075,                 2.2033,                 2.8756,                 1.7448,                0.07358,                0.08997,                 0.0304,                0.01224,                0.07032,                 80.561,                0.06249,                0.06808,                 19.849,                0.05527,              0.0097327,              0.0097327,              0.0097327
                     30,                 2.1913,                 2.4818,                 1.8972,                 2.2203,                 2.8881,                 1.7687,                0.25216,                0.14533,                0.10488,                0.04074,                0.07026,                 40.486,                0.06266,                0.06811,                 9.9256,                0.05605,              0.0097228,              0.0097228,              0.0097228
                     31,                 2.1836,                 2.2844,                  1.843,                 2.1718,                 2.7045,                 1.7194,                0.20916,                0.13841,                0.09339,                 0.0333,                0.06696,                 39.519,                0.06127,                0.06864,                  10.38,                0.05754,              0.0097129,              0.0097129,              0.0097129
                     32,                 2.2096,                 2.4677,                 1.8914,                 2.1989,                 2.9458,                 1.7482,                0.19354,                0.17301,                0.09052,                0.03189,                0.06878,                 11.601,                0.06252,                0.07182,                 2.8686,                 0.0584,               0.009703,               0.009703,               0.009703
                     33,                 2.1754,                  2.364,                 1.8906,                 2.1827,                 2.6976,                 1.7286,                0.23523,                0.17647,                0.11131,                0.04449,                 0.0699,                 7.0798,                0.06427,                0.07251,                 1.4363,                0.05975,              0.0096931,              0.0096931,              0.0096931
                     34,                 2.1998,                 2.3657,                 1.9162,                 2.2606,                 2.7848,                 1.7662,                0.15912,                0.09689,                0.06613,                0.02647,                0.06859,                 38.826,                0.06139,                0.07052,                 8.7482,                0.05817,              0.0096832,              0.0096832,              0.0096832
                     35,                 2.1659,                 2.3432,                 1.8471,                 2.1711,                 2.7343,                  1.699,                0.11384,                0.08997,                0.06039,                0.02684,                  0.071,                 69.243,                0.06368,                 0.0696,                 16.865,                0.05747,              0.0096733,              0.0096733,              0.0096733
                     36,                  2.142,                 2.2801,                 1.8418,                 2.1439,                 2.7155,                 1.7481,                0.16391,                0.16609,                0.09357,                0.03443,                0.06947,                 19.655,                 0.0634,                0.06816,                 5.8175,                0.05798,              0.0096634,              0.0096634,              0.0096634
                     37,                 2.1007,                 2.2349,                 1.8237,                 2.1582,                 2.6722,                  1.723,                 0.1062,                0.10381,                0.05601,                0.02299,                0.07066,                 31.125,                0.06385,                0.07123,                 7.9603,                0.05986,              0.0096535,              0.0096535,              0.0096535
                     38,                 2.0354,                  2.397,                 1.7842,                 2.0604,                 2.6785,                 1.6738,                0.26657,                0.17647,                0.14055,                0.05379,                0.06691,                 4.5111,                0.06063,                 0.0698,                0.84625,                0.05768,              0.0096436,              0.0096436,              0.0096436
