                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3349,                 12.193,                  1.281,                 1.3737,                 12.427,                 1.1847,                0.02032,                0.00692,                0.00246,                0.00097,                0.06663,                 1.8859,                0.06338,                 0.0664,                   2.21,                 0.0578,              0.0033165,              0.0033165,              0.0033165
                      2,                 1.8355,                 3.1484,                  1.658,                 1.8048,                 3.1121,                 1.4929,                 0.0003,                0.64014,                0.01498,                0.00555,                0.07084,                 1.2153,                 0.0703,                0.07236,                0.74903,                0.06332,              0.0066432,              0.0066432,              0.0066432
                      3,                 2.0991,                  3.348,                 1.7418,                 1.9554,                 3.3245,                 1.5831,                0.00018,                 0.3737,                0.00273,                 0.0007,                 0.0992,                 6.6757,                0.08752,                0.09217,                 7.9051,                0.07703,              0.0099634,              0.0099634,              0.0099634
                      4,                 2.4977,                 3.5349,                 2.1222,                 2.2853,                 3.5964,                 1.9405,                0.00015,                0.32872,                0.00312,                0.00101,                0.09888,                 36.827,                0.10515,                0.09285,                 19.548,                 0.0883,              0.0099703,              0.0099703,              0.0099703
                      5,                 2.7714,                 3.4325,                 2.3348,                 2.5382,                 3.7115,                 1.9999,                0.00015,                0.32872,                0.00149,                0.00034,                0.09619,                  98.95,                0.08708,                0.09269,                 39.072,                0.07646,              0.0099703,              0.0099703,              0.0099703
                      6,                 2.6963,                 3.2258,                 2.2041,                 2.4365,                 3.4075,                 1.9336,                0.00016,                0.33218,                0.01362,                0.00435,                0.10655,                 7.7159,                 0.0876,                0.09562,                 3.3887,                0.07427,              0.0099604,              0.0099604,              0.0099604
                      7,                 2.6206,                 3.2228,                 2.1254,                 2.4322,                 3.3303,                 1.8411,                0.00019,                0.40138,                0.00582,                0.00165,                0.09775,                 29.178,                0.08454,                 0.0931,                 17.274,                0.07247,              0.0099505,              0.0099505,              0.0099505
                      8,                  2.377,                 2.9223,                 2.0541,                 2.1834,                 2.9873,                 1.7733,                0.00023,                0.48443,                0.01146,                0.00284,                0.08619,                 14.104,                0.07769,                0.08551,                 4.3597,                0.06787,              0.0099406,              0.0099406,              0.0099406
                      9,                 2.5027,                 3.1593,                  2.145,                 2.3043,                 3.2954,                 1.8992,                0.00022,                0.47405,                0.01584,                0.00551,                0.08334,                 27.697,                0.07481,                0.08468,                 14.369,                0.06874,              0.0099307,              0.0099307,              0.0099307
                     10,                 2.3209,                  2.916,                 2.0034,                 2.1966,                 3.0929,                 1.7769,                0.00025,                0.52249,                 0.0127,                0.00396,                0.08497,                 13.772,                 0.0774,                0.08274,                 5.2923,                0.06985,              0.0099208,              0.0099208,              0.0099208
