epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.1072,1.71097,8.11798,1.52084,0.06091,0.14879,0.02293,0.01009,0.06347,26.6366,0.05576,0.00329966,0.00329966,0.00329966
2,106.716,2.00811,3.12151,1.74701,0.06449,0.04498,0.01351,0.00433,0.07537,59.7912,0.06881,0.00662643,0.00662643,0.00662643
3,160.055,2.68063,3.67918,2.29344,0.0001,0.00692,9e-05,3e-05,nan,nan,nan,0.0099466,0.0099466,0.0099466
4,212.064,3.03954,3.56525,2.56234,0.02477,0.02422,0.00665,0.00101,nan,nan,nan,0.0099703,0.0099703,0.0099703
5,283.41,2.92312,3.37128,2.63827,0.01171,0.04152,0.00168,0.00036,0.09944,406.547,0.09671,0.0099604,0.0099604,0.0099604
6,335.947,2.96185,3.55117,2.54862,0.00049,0.44637,0.00129,0.00045,0.09565,37.1518,0.08882,0.0099505,0.0099505,0.0099505
7,389.127,2.89882,3.55557,2.48581,0.00012,0.21107,0.00012,3e-05,0.13179,154.165,0.11436,0.0099406,0.0099406,0.0099406
8,440.625,2.84131,3.55923,2.44101,0.00037,0.10381,0.00049,0.00012,0.14007,2.48083,0.52163,0.0099307,0.0099307,0.0099307
9,493.317,2.73471,3.44035,2.35293,0.00091,0.53979,0.02691,0.00826,0.08488,23.4517,0.07787,0.0099208,0.0099208,0.0099208
10,544.632,2.69788,3.41667,2.32273,0.00085,0.46713,0.02899,0.00674,0.08875,31.3317,0.07736,0.0099109,0.0099109,0.0099109
11,597.694,2.71657,3.14562,2.32061,0.00081,0.63668,0.017,0.00574,0.08206,77.8929,0.07653,0.009901,0.009901,0.009901
12,650.899,2.72679,3.18607,2.3029,0.0004,0.53979,0.01218,0.00346,0.08214,107.938,0.07553,0.0098911,0.0098911,0.0098911
13,702.584,2.68025,3.44948,2.23846,0.00186,0.59516,0.0422,0.01487,0.08255,12.3012,0.07432,0.0098812,0.0098812,0.0098812
14,755.937,2.50097,3.08804,2.22254,0.00218,0.66436,0.03027,0.01123,0.07715,115.755,0.07109,0.0098713,0.0098713,0.0098713
15,808.347,2.48564,3.11154,2.23105,0.00103,0.53287,0.01475,0.00449,0.09223,14.91,0.08259,0.0098614,0.0098614,0.0098614
16,859.957,2.52234,3.09281,2.21832,0.01601,0.44983,0.02124,0.00742,0.07575,32.9443,0.06897,0.0098515,0.0098515,0.0098515
17,912.708,2.49124,2.92337,2.14062,0.05714,0.47405,0.11676,0.04042,0.07287,19.6965,0.06866,0.0098416,0.0098416,0.0098416
18,965.767,2.40724,3.10562,2.09575,0.11976,0.19031,0.08284,0.02496,0.07284,27.5435,0.06733,0.0098317,0.0098317,0.0098317
