epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.3356,1.75923,8.32761,1.55441,0.13298,0.16955,0.07024,0.03176,0.06189,22.0897,0.04778,0.00329966,0.00329966,0.00329966
2,82.539,2.00981,3.05043,1.7054,0.01909,0.08997,0.00631,0.00213,0.08013,119.641,0.06465,0.00662643,0.00662643,0.00662643
3,124.261,2.54821,3.68503,2.05567,0.0007,0.02422,0.00014,3e-05,0.10008,1402.16,0.11144,0.0099466,0.0099466,0.0099466
4,165.389,2.89267,3.52929,2.32936,0.00015,0.22491,0.00029,8e-05,0.11105,53.6343,0.14891,0.0099703,0.0099703,0.0099703
5,206.882,2.88897,3.41971,2.42383,0.00012,0.12457,7e-05,2e-05,0.10982,233.258,0.10668,0.0099604,0.0099604,0.0099604
6,250.617,2.89165,3.37186,2.33675,0.02591,0.08651,0.01182,0.00297,0.09211,77.4285,0.07595,0.0099505,0.0099505,0.0099505
7,291.865,2.85977,3.34362,2.30588,0.00077,0.28028,0.00451,0.00091,0.0939,157.93,0.07865,0.0099406,0.0099406,0.0099406
8,332.8,2.79609,3.48441,2.30421,0.00058,0.36678,0.01124,0.00211,0.09372,78.1899,0.07661,0.0099307,0.0099307,0.0099307
9,373.337,2.67021,3.17772,2.20847,0.01532,0.20415,0.01273,0.0056,0.08367,49.9303,0.07293,0.0099208,0.0099208,0.0099208
10,413.343,2.60338,3.25954,2.20192,0.01429,0.17993,0.01413,0.00387,0.0977,12.0198,0.08887,0.0099109,0.0099109,0.0099109
11,453.121,2.65423,2.99004,2.26001,9e-05,0.03806,0.0001,6e-05,0.08757,13.7326,0.07627,0.009901,0.009901,0.009901
12,492.903,2.70783,2.85726,2.22854,0.01073,0.10381,0.00331,0.00123,0.08506,132.636,0.07436,0.0098911,0.0098911,0.0098911
13,533.505,2.63379,2.98626,2.16521,0.13873,0.09343,0.05325,0.01732,0.0835,24.6113,0.07448,0.0098812,0.0098812,0.0098812
14,574.118,2.45836,2.83288,2.17294,0.02999,0.0519,0.00739,0.00268,0.08149,209.407,0.0742,0.0098713,0.0098713,0.0098713
15,614.459,2.47317,2.75271,2.14661,0.07878,0.05882,0.03342,0.01058,0.08424,36.3893,0.07458,0.0098614,0.0098614,0.0098614
16,655.018,2.50869,2.70867,2.12901,0.17165,0.14187,0.06916,0.02373,0.0759,59.3561,0.06892,0.0098515,0.0098515,0.0098515
17,695.67,2.45094,2.80427,2.09497,0.12021,0.12111,0.05833,0.01977,0.0758,48.7693,0.0691,0.0098416,0.0098416,0.0098416
18,735.254,2.36809,2.73642,2.03065,0.15334,0.08304,0.04892,0.01779,0.07912,6.98294,0.07035,0.0098317,0.0098317,0.0098317
19,775.661,2.4393,2.60742,2.0495,0.26491,0.13841,0.10009,0.03598,0.08076,8.48242,0.06977,0.0098218,0.0098218,0.0098218
20,816.679,2.4073,2.67861,2.04735,0.22848,0.19031,0.09112,0.034,0.07631,99.6608,0.06876,0.0098119,0.0098119,0.0098119
21,856.105,2.32291,2.50858,2.00525,0.19657,0.20069,0.12347,0.04646,0.07474,12.305,0.06823,0.009802,0.009802,0.009802
22,895.842,2.42075,2.64157,2.0666,0.12626,0.07958,0.02572,0.00948,0.07859,79.2963,0.06886,0.0097921,0.0097921,0.0097921
23,936.339,2.37341,2.72681,1.9918,0.27282,0.13149,0.11948,0.04193,0.07667,13.832,0.06819,0.0097822,0.0097822,0.0097822
24,975.889,2.29483,2.39635,1.9943,0.15652,0.10035,0.06084,0.02114,0.07508,2.03087,0.06879,0.0097723,0.0097723,0.0097723
25,1015.54,2.39044,2.50014,2.00886,0.14344,0.13495,0.0508,0.01754,0.08388,1.12125,0.07528,0.0097624,0.0097624,0.0097624
26,1054.87,2.24756,2.49985,1.98756,0.28145,0.19723,0.1519,0.0576,0.07739,1.52236,0.07137,0.0097525,0.0097525,0.0097525
27,1095.13,2.26297,2.62434,1.93399,0.1725,0.16955,0.08624,0.03489,0.07309,10.9327,0.0667,0.0097426,0.0097426,0.0097426
28,1135.77,2.28108,2.45329,1.98071,0.18641,0.17647,0.09902,0.03506,0.07366,57.315,0.06732,0.0097327,0.0097327,0.0097327
29,1176.23,2.3263,2.47959,1.98179,0.19519,0.18685,0.09941,0.0405,0.06977,41.5128,0.06357,0.0097228,0.0097228,0.0097228
30,1216.76,2.23004,2.53014,1.91074,0.20875,0.18685,0.11731,0.04717,0.07178,34.1841,0.06375,0.0097129,0.0097129,0.0097129
31,1256.58,2.2258,2.29265,1.90716,0.20633,0.21799,0.12864,0.05273,0.07026,4.48793,0.06184,0.009703,0.009703,0.009703
32,1297.36,2.27251,2.4574,1.9581,0.14582,0.14879,0.09743,0.04003,0.06653,67.4506,0.06175,0.0096931,0.0096931,0.0096931
33,1338.34,2.1951,2.37461,1.93728,0.1634,0.16263,0.08972,0.03364,0.07055,38.1308,0.06495,0.0096832,0.0096832,0.0096832
34,1378.84,2.2515,2.37866,1.97025,0.20243,0.14187,0.08706,0.03116,0.07237,30.9026,0.06531,0.0096733,0.0096733,0.0096733
35,1418.63,2.20748,2.38525,1.91898,0.12297,0.17301,0.08542,0.03326,0.0693,15.6282,0.06321,0.0096634,0.0096634,0.0096634
36,1459.32,2.17086,2.30122,1.88252,0.12279,0.10727,0.04442,0.01555,0.07131,25.6115,0.06546,0.0096535,0.0096535,0.0096535
37,1499.54,2.16125,2.30414,1.87211,0.24959,0.14533,0.10517,0.04175,0.06929,44.3625,0.06347,0.0096436,0.0096436,0.0096436
38,1539.89,2.11549,2.35672,1.85314,0.22673,0.13495,0.11202,0.04068,0.06814,53.166,0.06056,0.0096337,0.0096337,0.0096337
39,1580.38,2.12894,2.44002,1.87467,0.12364,0.20415,0.09239,0.03621,0.06652,16.3914,0.06076,0.0096238,0.0096238,0.0096238
40,1620.24,2.14152,2.27401,1.8746,0.24771,0.22837,0.14449,0.05776,0.06994,0.68221,0.06248,0.0096139,0.0096139,0.0096139
41,1659.73,2.09706,2.31705,1.81884,0.30181,0.22586,0.18549,0.07218,0.07226,0.14394,0.06544,0.009604,0.009604,0.009604
42,1700.42,2.21474,2.46956,1.9188,0.12349,0.16955,0.09022,0.03322,0.06735,30.3054,0.06143,0.0095941,0.0095941,0.0095941
43,1740.99,2.03739,2.26189,1.82888,0.07163,0.09689,0.02332,0.00877,0.07288,51.8626,0.06518,0.0095842,0.0095842,0.0095842
44,1780.83,2.11388,2.24474,1.79979,0.29135,0.23529,0.18341,0.07448,0.06766,7.17417,0.06055,0.0095743,0.0095743,0.0095743
45,1821.23,2.11254,2.30929,1.87917,0.24365,0.23875,0.1616,0.06671,0.06554,7.79223,0.06002,0.0095644,0.0095644,0.0095644
46,1861.7,2.1339,2.34528,1.87174,0.1895,0.14533,0.09077,0.04078,0.07154,34.4974,0.06262,0.0095545,0.0095545,0.0095545
47,1901.79,2.12333,2.28418,1.79831,0.29091,0.20415,0.15277,0.06309,0.06798,16.5015,0.06147,0.0095446,0.0095446,0.0095446
48,1941.25,2.04735,2.14418,1.84976,0.2815,0.25952,0.19631,0.07682,0.06909,0.81805,0.06441,0.0095347,0.0095347,0.0095347
49,1981.59,2.13996,2.28171,1.82877,0.19581,0.22837,0.12732,0.04958,0.06838,27.4176,0.06195,0.0095248,0.0095248,0.0095248
50,2021.85,1.93453,2.26456,1.70574,0.34693,0.2699,0.23638,0.101,0.06626,4.38269,0.05968,0.0095149,0.0095149,0.0095149
51,2061.7,2.07141,2.22736,1.79418,0.28858,0.25952,0.1832,0.07607,0.06468,7.73176,0.05788,0.009505,0.009505,0.009505
52,2101.1,2.01073,2.15523,1.75417,0.35369,0.30676,0.23658,0.08855,0.06266,3.40084,0.05803,0.0094951,0.0094951,0.0094951
53,2141.07,2.12914,2.35783,1.85404,0.27016,0.21453,0.17009,0.06744,0.06839,7.24953,0.06079,0.0094852,0.0094852,0.0094852
54,2180.46,2.00378,2.11059,1.75768,0.39039,0.25952,0.19867,0.07924,0.06614,1.73206,0.06108,0.0094753,0.0094753,0.0094753
55,2220.77,2.02093,2.18167,1.75651,0.31448,0.26298,0.1757,0.06899,0.06693,34.321,0.06126,0.0094654,0.0094654,0.0094654
56,2261.03,2.03822,2.11768,1.83616,0.3701,0.27853,0.21388,0.08489,0.06801,10.5575,0.06097,0.0094555,0.0094555,0.0094555
57,2300.35,2.05826,2.17469,1.80133,0.18386,0.15917,0.10024,0.03888,0.07111,2.87527,0.06496,0.0094456,0.0094456,0.0094456
58,2339.93,2.05741,2.28728,1.78863,0.32297,0.27682,0.22554,0.09919,0.06453,1.88431,0.05986,0.0094357,0.0094357,0.0094357
59,2379.16,1.98033,2.03093,1.77781,0.32091,0.30104,0.23903,0.10288,0.06676,2.60843,0.06044,0.0094258,0.0094258,0.0094258
60,2418.77,2.05221,2.12116,1.78805,0.34136,0.27798,0.21927,0.08557,0.06646,0.99514,0.05965,0.0094159,0.0094159,0.0094159
61,2458.38,2.02734,2.09941,1.8162,0.33352,0.26644,0.21332,0.08489,0.06596,4.85343,0.05929,0.009406,0.009406,0.009406
62,2497.63,2.01128,2.07827,1.77834,0.26414,0.21107,0.15679,0.06324,0.06666,7.33491,0.06023,0.0093961,0.0093961,0.0093961
63,2537.36,1.97842,2.11203,1.76476,0.27416,0.30583,0.19589,0.08175,0.06494,1.95546,0.05933,0.0093862,0.0093862,0.0093862
64,2577.41,1.97042,2.18019,1.733,0.3041,0.20069,0.14137,0.05226,0.06853,3.12422,0.0626,0.0093763,0.0093763,0.0093763
65,2617.02,1.87786,2.15737,1.70792,0.36385,0.33564,0.28726,0.1215,0.06492,0.68363,0.05903,0.0093664,0.0093664,0.0093664
66,2657.51,2.00846,2.09065,1.78574,0.23581,0.23183,0.15041,0.05139,0.06853,9.86311,0.06285,0.0093565,0.0093565,0.0093565
67,2697.23,1.98092,2.1573,1.78605,0.37077,0.30796,0.22166,0.08478,0.06555,4.12373,0.05993,0.0093466,0.0093466,0.0093466
68,2737.03,1.89722,2.0756,1.72653,0.34366,0.29758,0.23315,0.10398,0.06431,0.55789,0.05888,0.0093367,0.0093367,0.0093367
69,2776.59,1.90377,2.04736,1.72625,0.37241,0.31621,0.25989,0.11347,0.06121,1.22247,0.05697,0.0093268,0.0093268,0.0093268
70,2816.07,1.86517,2.0517,1.61305,0.36019,0.30796,0.25982,0.10883,0.06476,0.56639,0.05893,0.0093169,0.0093169,0.0093169
71,2855.29,2.04049,2.07325,1.73467,0.35047,0.33421,0.27713,0.10909,0.06401,0.21526,0.0585,0.009307,0.009307,0.009307
72,2895.55,1.99924,2.02365,1.749,0.22656,0.25606,0.17072,0.07307,0.06513,15.8824,0.05853,0.0092971,0.0092971,0.0092971
73,2935.47,1.8749,1.94714,1.67462,0.4203,0.31834,0.289,0.11829,0.06485,2.73376,0.05822,0.0092872,0.0092872,0.0092872
74,2975.28,1.96148,2.16667,1.74506,0.15927,0.14187,0.08598,0.03355,0.06573,48.8557,0.05963,0.0092773,0.0092773,0.0092773
75,3015.23,1.91616,2.1534,1.69238,0.32052,0.32872,0.25781,0.10501,0.06469,6.2046,0.05877,0.0092674,0.0092674,0.0092674
76,3054.62,1.92215,1.93926,1.6993,0.22651,0.25952,0.17749,0.07394,0.06352,14.1639,0.05681,0.0092575,0.0092575,0.0092575
77,3094.6,1.91962,2.00623,1.70964,0.3506,0.34374,0.25561,0.11828,0.06051,4.79369,0.05657,0.0092476,0.0092476,0.0092476
78,3134.33,1.84784,1.95485,1.66865,0.3882,0.29412,0.24255,0.1078,0.06262,2.92912,0.05646,0.0092377,0.0092377,0.0092377
79,3174.08,1.98931,2.14599,1.73038,0.34022,0.29758,0.23481,0.09511,0.06335,4.86837,0.05667,0.0092278,0.0092278,0.0092278
80,3214.23,1.93114,2.09738,1.72661,0.33443,0.28374,0.20125,0.09369,0.06176,14.3769,0.0576,0.0092179,0.0092179,0.0092179
81,3254.11,1.85649,1.93022,1.73906,0.30822,0.26644,0.18973,0.08367,0.06263,17.2792,0.05729,0.009208,0.009208,0.009208
82,3294.14,1.92038,2.04514,1.69441,0.33999,0.2872,0.20937,0.08793,0.0621,13.4594,0.05637,0.0091981,0.0091981,0.0091981
83,3334.06,1.89542,1.9521,1.70284,0.30563,0.27336,0.20008,0.09053,0.06288,12.5872,0.05749,0.0091882,0.0091882,0.0091882
84,3373.44,1.94351,2.01832,1.72235,0.34075,0.34256,0.25604,0.10493,0.06287,1.30263,0.0578,0.0091783,0.0091783,0.0091783
85,3413.09,1.91471,2.01397,1.70784,0.37902,0.3564,0.23538,0.09548,0.06286,1.60293,0.05851,0.0091684,0.0091684,0.0091684
86,3452.52,1.81085,1.95203,1.61406,0.40156,0.32274,0.25611,0.10139,0.06298,1.80231,0.0584,0.0091585,0.0091585,0.0091585
87,3492.17,1.89457,1.93109,1.65716,0.39765,0.36678,0.28432,0.11512,0.0636,2.34595,0.05766,0.0091486,0.0091486,0.0091486
88,3532.56,1.90536,1.90316,1.65683,0.25355,0.3045,0.17461,0.07528,0.06283,23.879,0.05676,0.0091387,0.0091387,0.0091387
89,3572.38,1.85231,1.81124,1.64437,0.27269,0.25606,0.17934,0.07772,0.06315,24.407,0.0577,0.0091288,0.0091288,0.0091288
90,3612.53,1.86415,1.92723,1.63685,0.25216,0.28374,0.16361,0.0618,0.06356,20.0699,0.05755,0.0091189,0.0091189,0.0091189
91,3652.18,1.77955,1.96841,1.59681,0.39379,0.34602,0.27822,0.1143,0.06079,5.72476,0.05595,0.009109,0.009109,0.009109
92,3692.18,1.81929,1.91615,1.67217,0.33817,0.31488,0.23587,0.09704,0.06475,7.80286,0.05855,0.0090991,0.0090991,0.0090991
93,3731.91,1.77669,1.91136,1.6192,0.32968,0.2699,0.19103,0.07717,0.06177,16.7375,0.05725,0.0090892,0.0090892,0.0090892
94,3771.38,1.84788,1.91529,1.63631,0.24235,0.23529,0.13739,0.06183,0.06187,36.7978,0.05783,0.0090793,0.0090793,0.0090793
95,3810.91,1.79661,1.90744,1.64045,0.3512,0.27346,0.25938,0.11269,0.06215,7.6096,0.05676,0.0090694,0.0090694,0.0090694
96,3851.12,1.79893,1.9137,1.63644,0.39893,0.30544,0.26056,0.10411,0.06389,6.83312,0.05817,0.0090595,0.0090595,0.0090595
97,3891.23,1.88283,1.99004,1.6652,0.32915,0.32526,0.23938,0.10198,0.06334,3.16182,0.05709,0.0090496,0.0090496,0.0090496
98,3930.8,1.87593,1.88374,1.64568,0.39279,0.35294,0.29155,0.12325,0.06228,1.61318,0.05839,0.0090397,0.0090397,0.0090397
99,3970.82,1.83835,1.97376,1.65975,0.43184,0.34948,0.30188,0.12615,0.06237,1.32201,0.05691,0.0090298,0.0090298,0.0090298
100,4010.46,1.82058,1.94392,1.63056,0.36736,0.38062,0.2991,0.12894,0.06071,1.52411,0.05613,0.0090199,0.0090199,0.0090199
