                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3348,                 3.6675,                 2.0127,                 2.1629,                 6.3228,                 1.7064,                0.01009,                0.01384,                0.00214,                0.00061,                 3.0014,                 3.7692,                   2.83,                 2.9021,                 9.3871,                  2.353,                  4e-05,                  4e-05,                  4e-05
                      2,                 2.4117,                 3.6609,                 2.0235,                 2.3015,                 6.1634,                 1.7275,                0.01445,                 0.0173,                 0.0023,                0.00067,                 2.9462,                 3.7527,                 2.7722,                 2.8321,                 9.0538,                  2.343,             9.9802e-05,             9.9802e-05,             9.9802e-05
                      3,                 2.3068,                 3.5311,                  1.995,                 2.2333,                 6.0359,                 1.6999,                 0.0115,                0.01384,                0.00243,                0.00077,                 2.8974,                 3.7472,                  2.726,                  2.768,                 8.7414,                 2.3024,             0.00015937,             0.00015937,             0.00015937
                      4,                    2.4,                 3.8735,                 2.0249,                 2.2838,                 6.7967,                  1.733,                0.13199,                0.05536,                0.03067,                0.01072,                 1.8718,                 3.0949,                 1.5421,                 1.7287,                 5.3904,                 1.3538,             0.00021869,             0.00021869,             0.00021869
                      5,                 1.8534,                 2.7537,                 1.5981,                 1.8141,                 4.8556,                 1.4335,                0.23935,                0.19377,                 0.1254,                0.05291,                  1.807,                 3.4421,                 1.5083,                  1.758,                 9.9546,                 1.3879,             0.00027778,             0.00027778,             0.00027778
                      6,                 1.6745,                 1.9807,                 1.4443,                 1.7017,                 3.6958,                 1.3055,                0.31119,                0.34256,                0.21904,                0.09348,                 1.7585,                 4.2655,                 1.6223,                 1.6659,                 4.0092,                 1.3515,             0.00033663,             0.00033663,             0.00033663
                      7,                 1.6208,                 1.9085,                 1.4301,                 1.6748,                 3.2789,                 1.3034,                 0.3269,                0.24913,                0.20304,                0.08502,                 1.8269,                 4.0862,                 1.7514,                 1.7303,                 3.9454,                 1.4411,             0.00039525,             0.00039525,             0.00039525
                      8,                 1.5402,                 1.7652,                 1.4029,                 1.5826,                 2.8411,                 1.2811,                0.27155,                0.29412,                0.19813,                 0.0878,                 1.7985,                 3.6182,                 1.6691,                 1.8144,                 3.0209,                 1.4678,             0.00045362,             0.00045362,             0.00045362
                      9,                 1.5548,                 1.5648,                 1.3587,                 1.6846,                 2.3924,                 1.2695,                0.24749,                0.29066,                0.15608,                 0.0624,                 1.9113,                 2.8763,                 1.7984,                  2.008,                 3.7061,                 1.6261,             0.00051176,             0.00051176,             0.00051176
                     10,                 1.5845,                 1.6334,                 1.4042,                 1.6797,                 2.2983,                 1.3178,                0.29909,                0.29758,                0.19783,                0.07978,                 1.9537,                 2.4949,                  1.861,                 1.9277,                 2.9516,                 1.6009,             0.00056966,             0.00056966,             0.00056966
                     11,                 1.5514,                 1.5793,                 1.3521,                 1.6886,                 2.2195,                 1.2877,                0.38841,                0.19377,                0.17296,                 0.0685,                 1.9686,                 2.1297,                 1.8665,                 1.9078,                 3.1559,                 1.5903,             0.00062733,             0.00062733,             0.00062733
                     12,                 1.5505,                 1.5107,                 1.3478,                 1.7023,                 2.0776,                 1.2818,                0.35565,                0.20415,                0.16483,                0.06136,                 1.9598,                 2.3183,                 1.8958,                 1.9215,                   3.15,                 1.5639,             0.00068475,             0.00068475,             0.00068475
                     13,                 1.5525,                  1.502,                 1.3645,                 1.7183,                 1.9855,                    1.3,                0.29663,                0.17993,                0.13878,                0.06019,                  2.045,                 2.3459,                 1.8321,                 2.0876,                 3.0183,                 1.6255,             0.00074194,             0.00074194,             0.00074194
                     14,                 1.5495,                 1.5437,                 1.3587,                 1.7213,                  1.958,                  1.317,                0.28858,                0.15917,                0.11405,                0.04356,                 2.1299,                 3.7315,                 2.1571,                 2.1199,                 3.3419,                 1.7874,             0.00079889,             0.00079889,             0.00079889
                     15,                 1.5374,                 1.5075,                 1.3655,                  1.678,                 1.8928,                 1.3139,                0.20663,                0.15225,                0.12252,                0.04475,                 2.3143,                 3.7246,                 2.2104,                 2.2721,                 3.4715,                 1.8728,             0.00085561,             0.00085561,             0.00085561
                     16,                 1.6368,                 1.5449,                  1.456,                 1.7667,                 1.9379,                 1.3912,                0.25148,                0.17301,                0.11707,                0.04509,                 2.2193,                  3.766,                 2.2528,                 2.2134,                  3.206,                 1.9781,             0.00091208,             0.00091208,             0.00091208
                     17,                 1.5046,                 1.5243,                 1.3601,                 1.6927,                 1.9042,                 1.3226,                 0.2575,                0.15225,                0.11351,                0.04139,                 2.3032,                 4.0237,                 2.3344,                 2.3498,                  3.716,                 2.0406,             0.00096832,             0.00096832,             0.00096832
