                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9491,                 3.3728,                 1.8193,                 1.9136,                 4.5094,                 1.5959,                0.05257,                0.11419,                 0.0253,                0.01009,                  2.359,                 9.1058,                 2.0592,                 2.2759,                 6.2191,                 1.8079,                0.00022,                0.00022,                0.00022
                      2,                 1.7915,                 2.2924,                 1.7048,                  1.927,                 3.0475,                 1.5927,                0.01433,                0.57785,                0.01195,                0.00512,                 2.1031,                 10.708,                 2.4513,                 2.1979,                 144.59,                 2.1329,             0.00045909,             0.00045909,             0.00045909
                      3,                 1.8824,                 2.1515,                 1.7198,                 2.0106,                 2.6873,                 1.5959,                0.00496,                0.14879,                0.00236,                0.00099,                  4.192,                 772.03,                 22.901,                 3.9539,                   3675,                 17.435,             0.00069723,             0.00069723,             0.00069723
                      4,                 1.9221,                 2.1601,                 1.7075,                 2.0858,                 2.7198,                 1.6286,                0.00515,                0.19377,                0.00321,                0.00196,                 3.8719,                   5163,                 57.808,                 3.5101,                  17119,                 118.37,             0.00093442,             0.00093442,             0.00093442
                      5,                 1.9794,                 2.0623,                 1.7932,                 2.0536,                 2.5005,                 1.6747,                0.00571,                0.20415,                0.00311,                0.00159,                 5.0518,                 110.72,                 38.713,                 3.9356,                 1084.4,                 15.179,              0.0011707,              0.0011707,              0.0011707
                      6,                  2.023,                 2.0364,                 1.7687,                 2.1905,                 2.4036,                  1.676,                0.01299,                0.04844,                0.00339,                0.00089,                 4.5911,                 121.81,                 29.538,                 4.2056,                  50.21,                 22.298,              0.0014059,              0.0014059,              0.0014059
                      7,                 2.1061,                 2.2105,                  1.869,                  2.263,                 2.5982,                 1.7879,                0.00476,                0.20761,                0.00338,                0.00165,                 4.6094,             3.5736e+05,                  40934,                 3.8124,             1.3996e+05,                 4830.1,              0.0016403,              0.0016403,              0.0016403
                      8,                 2.0549,                 2.2285,                 1.8601,                  2.182,                 2.5336,                 1.7452,                0.00541,                 0.2526,                0.00353,                0.00147,                 4.3762,                  65030,                 627.15,                  3.565,                  82174,                 461.96,              0.0018737,              0.0018737,              0.0018737
                      9,                   2.03,                 2.2354,                 1.7985,                 2.1152,                 2.7238,                 1.7233,                 0.0037,                0.17301,                 0.0028,                0.00091,                 3.8357,                  50768,                 667.05,                 3.5943,                  55291,                 435.93,              0.0019683,              0.0019683,              0.0019683
                     10,                 2.0283,                 2.0632,                 1.7803,                 2.1436,                 2.5051,                 1.6945,                0.00489,                0.22837,                0.00315,                0.00122,                 3.7535,                  38490,                  147.4,                  3.446,                  25244,                 158.49,              0.0019683,              0.0019683,              0.0019683
