epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,342.751,3.1778,2.95209,2.78194,0.21872,0.27062,0.15228,0.05305,3.20444,2.7633,2.79412,0.00332944,0.00332944,0.00332944
2,680.815,2.33923,2.20131,2.03499,0.29622,0.31389,0.21478,0.08845,3.0617,2.41835,3.02973,0.00665947,0.00665947,0.00665947
3,1018.94,2.13797,2.06567,1.87549,0.32914,0.33304,0.23407,0.10271,2.99199,2.32435,2.97035,0.00998621,0.00998621,0.00998621
4,1373.8,2.01236,1.96045,1.78693,0.41208,0.36882,0.32229,0.15392,2.89768,2.18158,2.91523,0.00998515,0.00998515,0.00998515
5,1733.12,1.92221,1.86996,1.71501,0.40594,0.37877,0.31172,0.14997,2.85009,2.05461,2.93666,0.0099802,0.0099802,0.0099802
6,2082.46,1.85667,1.78975,1.67087,0.47114,0.3977,0.37416,0.19157,2.79558,1.96449,2.95932,0.00997525,0.00997525,0.00997525
7,2429.89,1.80615,1.7032,1.63144,0.54567,0.41953,0.43344,0.22675,2.76105,1.88895,2.81175,0.0099703,0.0099703,0.0099703
8,2780,1.76545,1.61943,1.59619,0.56871,0.44046,0.46642,0.25331,2.70236,1.78806,2.83797,0.00996535,0.00996535,0.00996535
9,3137.57,1.72383,1.5399,1.56232,0.6127,0.47169,0.50471,0.2782,2.66093,1.72971,2.85228,0.0099604,0.0099604,0.0099604
10,3499.33,1.68167,1.46982,1.52973,0.65045,0.50274,0.54327,0.30782,2.59622,1.63908,2.68043,0.00995545,0.00995545,0.00995545
11,3852.12,1.64679,1.42105,1.50303,0.65554,0.50764,0.55302,0.31988,2.56464,1.59501,2.7007,0.0099505,0.0099505,0.0099505
12,4242.66,1.61794,1.39327,1.48381,0.66677,0.52078,0.56628,0.32814,2.53861,1.59023,2.74911,0.00994555,0.00994555,0.00994555
13,4582.56,1.59249,1.36797,1.46802,0.66837,0.53091,0.57835,0.3384,2.505,1.56725,2.65553,0.0099406,0.0099406,0.0099406
