epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,351.986,3.26217,3.25343,2.78209,0.28308,0.27739,0.19505,0.06393,3.30957,2.56709,2.88516,0.00331776,0.00331776,0.00331776
2,669.384,2.302,2.12089,1.98222,0.33454,0.33933,0.24421,0.10311,2.96547,2.34972,2.73198,0.0066478,0.0066478,0.0066478
3,991.3,2.08406,1.97009,1.81792,0.33382,0.3646,0.2499,0.11466,2.81545,2.25942,2.71117,0.00997454,0.00997454,0.00997454
4,1296.12,1.96456,1.87389,1.72649,0.40602,0.37931,0.30564,0.15175,2.74096,2.07528,2.67543,0.00998515,0.00998515,0.00998515
5,1630.3,1.89303,1.79054,1.66943,0.46217,0.39126,0.35973,0.17793,2.74431,1.97983,2.66358,0.0099802,0.0099802,0.0099802
6,1968.99,1.83248,1.65584,1.62377,0.56957,0.42561,0.45089,0.23497,2.66426,1.78673,2.66933,0.00997525,0.00997525,0.00997525
7,2278.64,1.78411,1.5525,1.57836,0.60132,0.45599,0.48676,0.25979,2.58077,1.7534,2.54936,0.0099703,0.0099703,0.0099703
8,2594.48,1.73331,1.49558,1.54227,0.61148,0.44642,0.48722,0.26726,2.61062,1.73582,2.57476,0.00996535,0.00996535,0.00996535
9,2934.29,1.70419,1.46478,1.51758,0.5261,0.416,0.41767,0.21964,2.76691,1.84887,2.79325,0.0099604,0.0099604,0.0099604
10,3243.1,1.67736,1.44025,1.49625,0.64033,0.48913,0.52867,0.29623,2.57689,1.66827,2.63784,0.00995545,0.00995545,0.00995545
11,3603.41,1.66149,1.42491,1.48392,0.63766,0.48909,0.53172,0.29977,2.58164,1.63981,2.57409,0.0099505,0.0099505,0.0099505
12,3993.41,1.64318,1.40714,1.46927,0.6572,0.49475,0.54126,0.30362,2.55463,1.62165,2.55598,0.00994555,0.00994555,0.00994555
13,4333.54,1.62267,1.38836,1.45623,0.65257,0.50249,0.5482,0.31316,2.59139,1.58088,2.57401,0.0099406,0.0099406,0.0099406
14,4669.25,1.61279,1.38125,1.44507,0.65843,0.49236,0.54232,0.30856,2.55523,1.56738,2.53082,0.00993565,0.00993565,0.00993565
15,5033.69,1.60349,1.37263,1.43776,0.65867,0.50555,0.55042,0.31561,2.55045,1.58742,2.52411,0.0099307,0.0099307,0.0099307
16,5404.07,1.58889,1.35268,1.42513,0.66706,0.5013,0.55611,0.32008,2.54313,1.55127,2.60654,0.00992575,0.00992575,0.00992575
17,5749.13,1.58466,1.35188,1.4234,0.66788,0.51381,0.56454,0.32963,2.54291,1.52756,2.51175,0.0099208,0.0099208,0.0099208
18,6167.45,1.57509,1.34603,1.41636,0.67541,0.5254,0.57842,0.33356,2.53213,1.51192,2.53082,0.00991585,0.00991585,0.00991585
19,6573.89,1.56446,1.33326,1.4062,0.66758,0.51729,0.56661,0.32911,2.5322,1.55154,2.60453,0.0099109,0.0099109,0.0099109
20,6974.75,1.56129,1.33015,1.39988,0.66939,0.51667,0.56694,0.33008,2.52142,1.5294,2.53334,0.00990595,0.00990595,0.00990595
21,7335.47,1.55136,1.32482,1.39443,0.68068,0.52309,0.57663,0.33872,2.51833,1.47141,2.53127,0.009901,0.009901,0.009901
