epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,349.866,3.26217,3.25343,2.78209,0.28308,0.27739,0.19505,0.06393,3.30957,2.56709,2.88516,0.00331776,0.00331776,0.00331776
2,638.267,2.30183,2.12157,1.98293,0.33505,0.33695,0.24688,0.1035,2.95282,2.35663,2.7141,0.00664451,0.00664451,0.00664451
3,937.245,2.08374,1.9704,1.81974,0.32489,0.3557,0.22808,0.10132,2.81717,2.34075,2.68809,0.00996465,0.00996465,0.00996465
4,1224.4,1.96472,1.8747,1.72795,0.3913,0.38277,0.29072,0.14446,2.72703,2.12249,2.67251,0.0099703,0.0099703,0.0099703
5,1513.02,1.8934,1.79315,1.67307,0.4672,0.39158,0.36508,0.18171,2.72631,1.98731,2.65411,0.0099604,0.0099604,0.0099604
6,1793.4,1.83322,1.65809,1.62658,0.57986,0.43157,0.45805,0.23844,2.68363,1.79256,2.71885,0.0099505,0.0099505,0.0099505
7,2074.59,1.78393,1.54763,1.58243,0.61228,0.4579,0.49389,0.2706,2.60797,1.72178,2.59674,0.0099406,0.0099406,0.0099406
8,2393.72,1.73471,1.4945,1.54382,0.61724,0.45382,0.49382,0.27149,2.59527,1.6992,2.54212,0.0099307,0.0099307,0.0099307
9,2693.78,1.70497,1.46534,1.51974,0.61612,0.48385,0.51675,0.28063,2.6106,1.71037,2.65872,0.0099208,0.0099208,0.0099208
10,3001.67,1.67734,1.4378,1.49738,0.63932,0.48841,0.53055,0.29589,2.58462,1.64534,2.57987,0.0099109,0.0099109,0.0099109
11,3285.04,1.66227,1.42509,1.48458,0.64808,0.4813,0.53123,0.29977,2.57577,1.61516,2.59385,0.009901,0.009901,0.009901
12,3574.19,1.6425,1.4057,1.46832,0.64349,0.49424,0.53601,0.30576,2.56566,1.65638,2.51029,0.0098911,0.0098911,0.0098911
13,3880.16,1.62408,1.38756,1.45496,0.65763,0.49425,0.54762,0.31287,2.5656,1.56445,2.63301,0.0098812,0.0098812,0.0098812
14,4175.48,1.61393,1.38007,1.44554,0.64004,0.51066,0.55058,0.31061,2.57387,1.56898,2.56201,0.0098713,0.0098713,0.0098713
15,4460.82,1.60579,1.37091,1.4372,0.65363,0.50146,0.54792,0.31694,2.55477,1.59792,2.57828,0.0098614,0.0098614,0.0098614
16,4755.16,1.58904,1.35107,1.42594,0.65769,0.51985,0.56434,0.32658,2.54663,1.51657,2.56725,0.0098515,0.0098515,0.0098515
17,5055.85,1.5837,1.35213,1.42298,0.6627,0.51729,0.56619,0.32984,2.53547,1.53864,2.62896,0.0098416,0.0098416,0.0098416
18,5364.69,1.57448,1.34488,1.41524,0.67,0.51627,0.57019,0.33142,2.5154,1.54499,2.53667,0.0098317,0.0098317,0.0098317
19,5651.23,1.56248,1.33201,1.40514,0.66481,0.50384,0.55292,0.31757,2.53701,1.56117,2.65511,0.0098218,0.0098218,0.0098218
20,5953.26,1.55817,1.32927,1.3985,0.6686,0.51644,0.56865,0.33143,2.52501,1.52895,2.45155,0.0098119,0.0098119,0.0098119
21,6267.26,1.5489,1.32279,1.39554,0.65731,0.50955,0.55327,0.32149,2.5414,1.50884,2.54565,0.009802,0.009802,0.009802
22,6561.04,1.5443,1.31531,1.3895,0.66768,0.5415,0.58667,0.34732,2.50331,1.50543,2.55924,0.0097921,0.0097921,0.0097921
23,6857.77,1.53417,1.30746,1.38339,0.67738,0.53668,0.58958,0.3482,2.4839,1.46429,2.44388,0.0097822,0.0097822,0.0097822
24,7164.42,1.52662,1.30018,1.37692,0.67582,0.53474,0.58622,0.34904,2.49686,1.4729,2.50446,0.0097723,0.0097723,0.0097723
25,7461.91,1.52352,1.2943,1.3745,0.67388,0.54201,0.59487,0.35605,2.48107,1.44746,2.53307,0.0097624,0.0097624,0.0097624
26,7796,1.52189,1.29728,1.37281,0.67254,0.54261,0.59512,0.35792,2.47232,1.46437,2.52123,0.0097525,0.0097525,0.0097525
27,8116.19,1.51185,1.28467,1.36605,0.68249,0.54371,0.59861,0.35917,2.46818,1.45397,2.52195,0.0097426,0.0097426,0.0097426
28,8435.02,1.50822,1.28076,1.3601,0.6718,0.53924,0.59055,0.35522,2.46711,1.44999,2.51455,0.0097327,0.0097327,0.0097327
29,8780.98,1.50536,1.27736,1.3596,0.6749,0.55529,0.60375,0.36619,2.44899,1.44672,2.43619,0.0097228,0.0097228,0.0097228
30,9087.09,1.50347,1.27713,1.35716,0.67615,0.55349,0.60336,0.36526,2.44239,1.4297,2.48189,0.0097129,0.0097129,0.0097129
31,9389.21,1.50271,1.2726,1.35419,0.67451,0.55707,0.6067,0.36896,2.44082,1.44266,2.47467,0.009703,0.009703,0.009703
32,9678.01,1.49191,1.26519,1.34929,0.67101,0.56031,0.60669,0.37084,2.44289,1.41594,2.48867,0.0096931,0.0096931,0.0096931
33,9987.74,1.48944,1.26141,1.34602,0.67806,0.55303,0.60646,0.37079,2.43956,1.41997,2.47539,0.0096832,0.0096832,0.0096832
34,10301.5,1.48691,1.25884,1.34252,0.67097,0.5641,0.60617,0.36874,2.44322,1.4246,2.49733,0.0096733,0.0096733,0.0096733
35,10592.2,1.48945,1.25935,1.34503,0.67849,0.56486,0.61227,0.3765,2.42657,1.41111,2.4892,0.0096634,0.0096634,0.0096634
36,10892.6,1.48414,1.25353,1.3405,0.6745,0.56907,0.61734,0.37865,2.41954,1.39532,2.45429,0.0096535,0.0096535,0.0096535
37,11197.3,1.47629,1.25202,1.33831,0.68951,0.56017,0.61428,0.37719,2.42505,1.39908,2.5035,0.0096436,0.0096436,0.0096436
38,11523.2,1.47509,1.24895,1.33436,0.67607,0.56641,0.61498,0.3793,2.40873,1.4178,2.44595,0.0096337,0.0096337,0.0096337
39,11835.3,1.46968,1.24161,1.3296,0.68307,0.57181,0.62127,0.38454,2.40147,1.39493,2.46059,0.0096238,0.0096238,0.0096238
40,12127.4,1.46633,1.23693,1.32982,0.67733,0.57262,0.62023,0.38377,2.40839,1.39231,2.46699,0.0096139,0.0096139,0.0096139
41,12431.9,1.46574,1.23821,1.33012,0.68965,0.57069,0.62246,0.38634,2.3987,1.38955,2.4443,0.009604,0.009604,0.009604
42,12741.6,1.46448,1.23338,1.32648,0.68327,0.57287,0.62477,0.38755,2.39779,1.38653,2.44675,0.0095941,0.0095941,0.0095941
43,13047.4,1.46527,1.23758,1.32856,0.68193,0.57474,0.62406,0.38922,2.39484,1.38134,2.44336,0.0095842,0.0095842,0.0095842
44,13368.5,1.46286,1.23312,1.32655,0.68313,0.57417,0.62457,0.38969,2.38855,1.37437,2.43155,0.0095743,0.0095743,0.0095743
45,13674.8,1.45963,1.23295,1.3248,0.68853,0.56992,0.6265,0.39161,2.38895,1.36927,2.43724,0.0095644,0.0095644,0.0095644
46,13993.9,1.45654,1.22783,1.32216,0.68268,0.57571,0.6277,0.39236,2.387,1.37318,2.43468,0.0095545,0.0095545,0.0095545
47,14312.5,1.45455,1.22633,1.31733,0.68871,0.57389,0.62945,0.39355,2.38174,1.37146,2.4154,0.0095446,0.0095446,0.0095446
48,14625.1,1.44859,1.22498,1.31794,0.68633,0.57771,0.62906,0.39521,2.3767,1.36796,2.42793,0.0095347,0.0095347,0.0095347
49,14962.5,1.45296,1.2262,1.31544,0.68627,0.58056,0.63089,0.39586,2.37543,1.35876,2.42546,0.0095248,0.0095248,0.0095248
50,15257.7,1.44448,1.21548,1.3118,0.69297,0.57588,0.63116,0.39618,2.3701,1.36433,2.40545,0.0095149,0.0095149,0.0095149
51,15551,1.44648,1.21813,1.31147,0.68338,0.58226,0.63158,0.39724,2.36824,1.35945,2.39811,0.009505,0.009505,0.009505
52,15869.9,1.44361,1.21668,1.30942,0.68601,0.58175,0.63331,0.39826,2.36705,1.36074,2.3892,0.0094951,0.0094951,0.0094951
53,16162.1,1.4392,1.21207,1.30722,0.69089,0.57907,0.63439,0.39969,2.36751,1.35838,2.40709,0.0094852,0.0094852,0.0094852
54,16456.5,1.4398,1.21179,1.30846,0.68732,0.58422,0.63492,0.39966,2.36447,1.35399,2.39318,0.0094753,0.0094753,0.0094753
55,16760.5,1.44031,1.21312,1.30781,0.68894,0.58562,0.63534,0.4007,2.36083,1.35519,2.38922,0.0094654,0.0094654,0.0094654
56,17056.9,1.43823,1.20989,1.30612,0.68735,0.58466,0.63561,0.40048,2.35868,1.35194,2.39724,0.0094555,0.0094555,0.0094555
57,17370.6,1.43436,1.2108,1.3055,0.68694,0.58532,0.63608,0.40146,2.35544,1.35209,2.39478,0.0094456,0.0094456,0.0094456
58,17673.8,1.43306,1.20783,1.30465,0.68627,0.58928,0.63794,0.40234,2.35519,1.35148,2.38959,0.0094357,0.0094357,0.0094357
59,17970.9,1.43335,1.2108,1.30305,0.69139,0.58626,0.63806,0.40324,2.35634,1.35013,2.40049,0.0094258,0.0094258,0.0094258
60,18267.8,1.42923,1.20427,1.30185,0.6867,0.58962,0.6376,0.40375,2.35644,1.34752,2.38923,0.0094159,0.0094159,0.0094159
61,18554.7,1.4299,1.20229,1.30095,0.69022,0.58808,0.63865,0.4044,2.35504,1.34689,2.39703,0.009406,0.009406,0.009406
62,18840.7,1.42768,1.19993,1.29875,0.68966,0.58872,0.63875,0.40501,2.35128,1.34723,2.39323,0.0093961,0.0093961,0.0093961
63,19125.8,1.42758,1.20044,1.29809,0.68963,0.58789,0.63949,0.40528,2.34915,1.346,2.39943,0.0093862,0.0093862,0.0093862
64,19422.4,1.42707,1.20095,1.29825,0.68936,0.58809,0.63963,0.40546,2.34777,1.34283,2.40105,0.0093763,0.0093763,0.0093763
65,19722.9,1.42292,1.19359,1.29699,0.68742,0.5901,0.64008,0.40585,2.34648,1.34082,2.39642,0.0093664,0.0093664,0.0093664
66,20019.5,1.42064,1.19559,1.29296,0.68934,0.58919,0.64043,0.40646,2.34583,1.33956,2.39865,0.0093565,0.0093565,0.0093565
67,20319.8,1.42134,1.19362,1.29404,0.68947,0.58728,0.6402,0.40683,2.34294,1.3391,2.39915,0.0093466,0.0093466,0.0093466
68,20617.8,1.42227,1.1921,1.29257,0.68826,0.58968,0.64096,0.40738,2.34098,1.33945,2.39814,0.0093367,0.0093367,0.0093367
69,20908.6,1.41825,1.18983,1.29003,0.68915,0.58901,0.64117,0.40756,2.34008,1.33903,2.398,0.0093268,0.0093268,0.0093268
70,21211.3,1.41251,1.18881,1.2886,0.68829,0.59043,0.64198,0.40814,2.34008,1.33743,2.39696,0.0093169,0.0093169,0.0093169
71,21512.2,1.42103,1.19678,1.29069,0.68871,0.59098,0.64231,0.40842,2.33927,1.33731,2.39504,0.009307,0.009307,0.009307
72,21849.6,1.41713,1.18831,1.28976,0.6906,0.5906,0.64262,0.40885,2.33848,1.3367,2.3913,0.0092971,0.0092971,0.0092971
73,22168.7,1.41549,1.18892,1.28877,0.69169,0.5889,0.6426,0.40867,2.33736,1.33597,2.38874,0.0092872,0.0092872,0.0092872
74,22469.7,1.40933,1.1821,1.28517,0.6918,0.58873,0.64266,0.40914,2.33702,1.33558,2.3845,0.0092773,0.0092773,0.0092773
