epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.1122,2.02644,18.8762,1.69854,0.10259,0.13149,0.03497,0.01287,0.12825,192.104,0.10419,0.00326667,0.00326667,0.00326667
2,90.0314,1.91839,2.44696,1.56162,0.0763,0.09343,0.03688,0.01472,0.13619,351.534,0.1112,0.00659347,0.00659347,0.00659347
3,126.188,2.41775,2.84724,1.92177,0.00296,0.00692,0.00033,9e-05,0.2222,2303.22,0.22942,0.00991367,0.00991367,0.00991367
4,162.79,2.79596,3.2617,2.25389,3e-05,0.0346,1e-05,0,nan,nan,nan,0.0099703,0.0099703,0.0099703
5,198.115,2.86958,3.22402,2.31921,0.00057,0.0173,3e-05,1e-05,0.24841,inf,0.23083,0.0099604,0.0099604,0.0099604
6,227.364,2.78421,3.09938,2.30861,0.00057,0.0173,3e-05,1e-05,nan,nan,nan,0.0099505,0.0099505,0.0099505
7,262.416,2.8443,2.95365,2.25428,0.01392,0.0519,0.0021,0.00056,0.19767,2165.45,0.16973,0.0099406,0.0099406,0.0099406
8,295.454,2.65658,2.77851,2.14946,0.11658,0.14879,0.04728,0.0188,0.17607,330.081,0.16835,0.0099307,0.0099307,0.0099307
9,328.411,2.58175,2.77819,2.16667,0.06206,0.05882,0.01103,0.00385,0.18162,469.025,0.15905,0.0099208,0.0099208,0.0099208
10,361.781,2.57497,2.69191,2.09677,0.04924,0.08304,0.02173,0.00681,0.16483,1466.5,0.14138,0.0099109,0.0099109,0.0099109
11,394.688,2.45737,2.56229,2.03134,0.02229,0.01384,0.00138,0.0005,0.1916,9.43698,0.17718,0.009901,0.009901,0.009901
12,429.72,2.5442,2.60053,2.02724,0.1398,0.10727,0.05326,0.01864,0.16004,187.723,0.13556,0.0098911,0.0098911,0.0098911
13,459.704,2.47969,2.56621,2.01241,0.15966,0.12803,0.07911,0.02798,0.15515,103.212,0.12789,0.0098812,0.0098812,0.0098812
14,493.456,2.45775,2.62841,1.98154,0.12994,0.11073,0.04295,0.01483,0.15522,495.135,0.13146,0.0098713,0.0098713,0.0098713
15,527.224,2.44841,2.53473,1.96043,0.08143,0.10381,0.02304,0.00744,0.16669,138.605,0.13415,0.0098614,0.0098614,0.0098614
16,562.21,2.3703,2.45588,1.98184,0.01508,0.06574,0.00265,0.00096,0.17752,794.021,0.1532,0.0098515,0.0098515,0.0098515
17,598.057,2.27676,2.39427,1.9244,0.17858,0.15497,0.07354,0.02627,0.1649,76.4818,0.1385,0.0098416,0.0098416,0.0098416
18,630.813,2.35411,2.42271,1.96161,0.20643,0.19031,0.10362,0.03754,0.15087,32.5247,0.12706,0.0098317,0.0098317,0.0098317
19,665.216,2.38686,2.55728,1.99182,0.19224,0.14187,0.06106,0.0197,0.15758,140.9,0.13813,0.0098218,0.0098218,0.0098218
20,700.867,2.29621,2.33745,1.91361,0.18844,0.10035,0.05858,0.01923,0.16193,4.15065,0.1281,0.0098119,0.0098119,0.0098119
21,737.11,2.25156,2.24882,1.87931,0.1996,0.20415,0.11815,0.0451,0.14465,150.268,0.12065,0.009802,0.009802,0.009802
22,771.669,2.27388,2.36508,1.86179,0.18268,0.21107,0.11798,0.04664,0.14803,171.283,0.12426,0.0097921,0.0097921,0.0097921
23,806.061,2.19982,2.33296,1.8073,0.17514,0.12803,0.09955,0.03586,0.14482,32.9149,0.12277,0.0097822,0.0097822,0.0097822
24,833.195,2.13597,2.17641,1.82481,0.27962,0.25921,0.17385,0.06583,0.13619,0.22331,0.11458,0.0097723,0.0097723,0.0097723
25,863.245,2.17451,2.2964,1.85081,0.23296,0.23875,0.14608,0.05388,0.14111,14.7089,0.11988,0.0097624,0.0097624,0.0097624
26,891.274,2.14792,2.19765,1.85329,0.14134,0.12111,0.04393,0.01656,0.16032,134.466,0.13695,0.0097525,0.0097525,0.0097525
27,918.033,2.19804,2.17886,1.82862,0.29541,0.14879,0.10694,0.03712,0.15738,109.744,0.13064,0.0097426,0.0097426,0.0097426
28,944.898,2.13391,2.18623,1.81789,0.13389,0.24286,0.09876,0.03603,0.14102,35.5232,0.12267,0.0097327,0.0097327,0.0097327
29,973.354,2.11334,2.13515,1.78326,0.17855,0.11765,0.05335,0.02224,0.14271,178.967,0.12916,0.0097228,0.0097228,0.0097228
30,1000.47,2.08594,2.12416,1.78152,0.18234,0.17301,0.09274,0.0375,0.13603,108.252,0.11572,0.0097129,0.0097129,0.0097129
31,1027.77,2.07744,2.17922,1.76479,0.33353,0.24589,0.21452,0.09104,0.13327,1.66661,0.11174,0.009703,0.009703,0.009703
32,1053.76,2.12052,2.07622,1.75165,0.1736,0.17993,0.09308,0.03371,0.13806,9.24577,0.11681,0.0096931,0.0096931,0.0096931
33,1081.2,2.06673,2.15179,1.71765,0.2703,0.28028,0.18382,0.07125,0.13902,28.1223,0.11308,0.0096832,0.0096832,0.0096832
34,1107.42,2.08717,2.14942,1.72386,0.29395,0.16609,0.12747,0.05513,0.13429,94.057,0.11011,0.0096733,0.0096733,0.0096733
35,1135.31,1.99957,2.05164,1.7152,0.22465,0.18685,0.09613,0.03818,0.13925,80.7932,0.1165,0.0096634,0.0096634,0.0096634
36,1162.24,2.05676,2.09132,1.73269,0.37631,0.31734,0.24621,0.10045,0.13584,27.2282,0.11397,0.0096535,0.0096535,0.0096535
37,1188.92,2.04907,2.07113,1.74473,0.31364,0.24567,0.19217,0.07487,0.13929,4.31746,0.12001,0.0096436,0.0096436,0.0096436
38,1216.54,2.02081,2.06116,1.71325,0.33885,0.24913,0.19113,0.06982,0.14277,3.35153,0.11885,0.0096337,0.0096337,0.0096337
39,1243.87,1.99597,2.02698,1.69936,0.30851,0.26863,0.22577,0.09171,0.13456,11.7852,0.11114,0.0096238,0.0096238,0.0096238
40,1271.43,1.9908,2.00844,1.70417,0.34723,0.3045,0.24651,0.09938,0.13394,0.95048,0.11218,0.0096139,0.0096139,0.0096139
