epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.3296,1.3749,22.5984,1.26403,0.24815,0.36678,0.19888,0.09118,0.05734,0.18013,0.05224,0.0033165,0.0033165,0.0033165
2,181.64,1.91997,3.34297,1.61512,0.01316,0.43253,0.04095,0.01521,0.08232,0.15716,0.07085,0.00664325,0.00664325,0.00664325
3,273.086,2.43687,3.46489,1.96917,0.00026,0.15917,0.00016,4e-05,0.10981,12.2218,0.16375,0.0099634,0.0099634,0.0099634
4,365.429,2.84919,3.69017,2.37084,2e-05,0.03114,2e-05,1e-05,0.12656,nan,0.53115,0.0099703,0.0099703,0.0099703
5,456.254,2.99325,3.64367,2.5152,0.00031,0.26644,0.00128,0.00028,0.11304,2.79723,0.1017,0.0099604,0.0099604,0.0099604
6,546.743,2.89212,3.54025,2.39094,0.00024,0.3045,0.00041,0.00011,0.10025,36.7347,0.08705,0.0099505,0.0099505,0.0099505
7,636.331,2.87634,3.38974,2.27362,0.00066,0.34602,0.00116,0.00034,0.10078,13.1248,0.08448,0.0099406,0.0099406,0.0099406
8,726.357,2.63806,3.30067,2.19602,0.00062,0.43599,0.0013,0.00036,0.10136,nan,0.08867,0.0099307,0.0099307,0.0099307
9,816,2.71153,3.28766,2.31356,0.00014,0.07612,8e-05,3e-05,0.09863,12.9643,0.08639,0.0099208,0.0099208,0.0099208
10,907.194,2.58683,3.0478,2.23179,0.00071,0.49827,0.00606,0.00202,0.09275,45.7351,0.08693,0.0099109,0.0099109,0.0099109
11,997.177,2.64195,2.90722,2.23689,0.00237,0.11073,0.00538,0.00147,0.09454,0.32901,0.08478,0.009901,0.009901,0.009901
12,1088.62,2.60355,3.00476,2.16409,0.00046,0.44983,0.02719,0.00746,0.10068,14.6433,0.08521,0.0098911,0.0098911,0.0098911
13,1180.01,2.72176,3.08396,2.21496,0.00092,0.55363,0.02897,0.0079,0.09233,7.50469,0.07848,0.0098812,0.0098812,0.0098812
14,1271.66,2.56155,2.89676,2.11081,0.00092,0.53979,0.00293,0.00103,0.09431,nan,0.08466,0.0098713,0.0098713,0.0098713
15,1363.79,2.65696,2.86676,2.26525,0.00048,0.54325,0.02544,0.00887,0.08766,12.3143,0.07818,0.0098614,0.0098614,0.0098614
16,1455.11,2.51907,2.9322,2.14274,0.00128,0.46021,0.01445,0.00513,0.09253,2.21538,0.08233,0.0098515,0.0098515,0.0098515
17,1545.01,2.4563,2.85026,2.11925,0.00077,0.34948,0.01302,0.0045,0.08756,8.18,0.07992,0.0098416,0.0098416,0.0098416
18,1634.48,2.38867,2.56599,1.99636,0.00106,0.59516,0.03833,0.01229,0.08746,9.70869,0.07792,0.0098317,0.0098317,0.0098317
19,1725.67,2.50741,2.74965,2.08243,0.00054,0.58824,0.01555,0.00512,0.08577,21.2277,0.07538,0.0098218,0.0098218,0.0098218
