epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,526.93,2.67504,2.78038,2.35327,0.29856,0.27962,0.19956,0.07428,3.17618,2.61169,3.12435,0.00331776,0.00331776,0.00331776
2,869.805,2.07176,2.03043,1.81623,0.40188,0.33669,0.29265,0.12277,3.05304,2.33685,2.96668,0.00664451,0.00664451,0.00664451
3,1206.99,1.91243,1.7375,1.65368,0.50064,0.3521,0.34767,0.16247,2.95917,2.252,3.22733,0.00996465,0.00996465,0.00996465
4,1569.59,1.83888,1.63732,1.59592,0.49996,0.38709,0.37375,0.17671,2.83421,2.39611,2.71238,0.0099703,0.0099703,0.0099703
5,1943.96,1.76165,1.55694,1.53968,0.58728,0.4585,0.47098,0.23953,2.72428,1.86378,2.7795,0.0099604,0.0099604,0.0099604
6,2445.79,1.70733,1.49833,1.50825,0.62922,0.46041,0.49238,0.26253,2.71442,1.79613,2.82748,0.0099505,0.0099505,0.0099505
7,3099.44,1.67029,1.46077,1.48203,0.62245,0.46977,0.5046,0.27569,2.61458,1.70544,2.69803,0.0099406,0.0099406,0.0099406
8,3540.63,1.64018,1.43112,1.4641,0.6252,0.4656,0.50741,0.27434,2.65588,1.6861,2.72852,0.0099307,0.0099307,0.0099307
9,3999.75,1.62186,1.40754,1.44986,0.59043,0.46377,0.4873,0.26425,2.64809,1.67449,2.76106,0.0099208,0.0099208,0.0099208
10,4439.68,1.59977,1.38448,1.43545,0.61197,0.47556,0.50725,0.28926,2.59847,1.64459,2.76843,0.0099109,0.0099109,0.0099109
11,4866.46,1.58891,1.37523,1.42673,0.65279,0.49857,0.54845,0.31358,2.5795,1.56511,2.59246,0.009901,0.009901,0.009901
12,5301.95,1.57453,1.35751,1.41756,0.66119,0.51563,0.56697,0.32723,2.51293,1.5118,2.49508,0.0098911,0.0098911,0.0098911
13,5673.48,1.55683,1.33714,1.40685,0.65199,0.48914,0.54349,0.31267,2.56019,1.57541,2.80188,0.0098812,0.0098812,0.0098812
14,6124.73,1.55065,1.3339,1.40082,0.64283,0.51494,0.55105,0.31166,2.53785,1.61892,2.73278,0.0098713,0.0098713,0.0098713
15,6520.55,1.53869,1.31934,1.391,0.64054,0.51726,0.55872,0.31639,2.51763,1.54862,2.64917,0.0098614,0.0098614,0.0098614
16,6948.66,1.52824,1.30698,1.38418,0.66132,0.52359,0.57372,0.33667,2.52266,1.49311,2.56644,0.0098515,0.0098515,0.0098515
