epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,334.997,3.07686,2.20483,1.42468,0.48839,0.40401,0.39397,0.1976,2.96633,1.94769,1.32924,0.00331776,0.00331776,0.00331776
2,627.76,2.74826,1.54589,1.30413,0.52069,0.41859,0.41161,0.20307,3.01753,1.68993,1.39765,0.0066478,0.0066478,0.0066478
3,909.598,2.79494,1.46963,1.32157,0.50783,0.39025,0.39443,0.20124,3.15628,1.75952,1.48858,0.00997454,0.00997454,0.00997454
4,1191.31,2.80942,1.41651,1.33443,0.54068,0.46709,0.46536,0.23757,2.99184,1.64087,1.38271,0.00998515,0.00998515,0.00998515
5,1480.41,2.71071,1.33985,1.30799,0.58998,0.46752,0.50046,0.27191,2.86028,1.42945,1.35902,0.0099802,0.0099802,0.0099802
6,1764.76,2.65014,1.29541,1.29389,0.601,0.49011,0.52029,0.28608,2.75137,1.40226,1.32543,0.00997525,0.00997525,0.00997525
7,2042.47,2.60022,1.25571,1.27771,0.62948,0.49951,0.54369,0.30645,2.66043,1.35617,1.30243,0.0099703,0.0099703,0.0099703
8,2327.11,2.56823,1.23521,1.26952,0.61802,0.46305,0.50232,0.28421,2.70892,1.43684,1.33444,0.00996535,0.00996535,0.00996535
9,2613.76,2.53597,1.21527,1.26148,0.6325,0.5127,0.55715,0.32014,2.68839,1.30709,1.29696,0.0099604,0.0099604,0.0099604
10,2895.4,2.51122,1.19227,1.25298,0.65029,0.52427,0.57621,0.33372,2.56042,1.25098,1.26641,0.00995545,0.00995545,0.00995545
11,3176.38,2.48997,1.17411,1.24626,0.63443,0.493,0.54325,0.31939,2.59488,1.32663,1.2962,0.0099505,0.0099505,0.0099505
12,3466.76,2.47787,1.16368,1.24314,0.6439,0.51773,0.56588,0.32608,2.55589,1.24935,1.26871,0.00994555,0.00994555,0.00994555
13,3742.34,2.45448,1.15242,1.23625,0.66091,0.52804,0.58057,0.34393,2.5035,1.21884,1.25161,0.0099406,0.0099406,0.0099406
14,4018.18,2.43546,1.14141,1.23229,0.66906,0.52712,0.58857,0.3526,2.42598,1.20926,1.22794,0.00993565,0.00993565,0.00993565
15,4302.18,2.42612,1.13774,1.22604,0.66314,0.53874,0.59288,0.35156,2.50153,1.19645,1.24355,0.0099307,0.0099307,0.0099307
17,4847.58,2.40258,1.12035,1.21868,0.66408,0.54167,0.59503,0.35921,2.40811,1.17016,1.21469,0.0099208,0.0099208,0.0099208
18,5108.18,2.39408,1.11582,1.22025,0.66108,0.56682,0.61496,0.3736,2.34856,1.12596,1.20577,0.00991585,0.00991585,0.00991585
19,5391.26,2.37348,1.10696,1.21451,0.66462,0.55916,0.61144,0.37308,2.36744,1.12417,1.21009,0.0099109,0.0099109,0.0099109
20,5666,2.36673,1.09732,1.21177,0.67225,0.56197,0.61565,0.37406,2.37006,1.13008,1.21343,0.00990595,0.00990595,0.00990595
21,5940.24,2.36541,1.10005,1.2138,0.68002,0.57215,0.62783,0.38449,2.34308,1.0877,1.1837,0.009901,0.009901,0.009901
22,6227.36,2.34682,1.08771,1.20556,0.68418,0.5681,0.62789,0.38907,2.28914,1.08903,1.18215,0.00989605,0.00989605,0.00989605
23,6518.11,2.34505,1.0841,1.20529,0.68154,0.56609,0.62816,0.38663,2.33572,1.08271,1.18753,0.0098911,0.0098911,0.0098911
24,6795.8,2.34266,1.08638,1.20247,0.68476,0.57334,0.62823,0.38629,2.29686,1.09206,1.18651,0.00988615,0.00988615,0.00988615
25,7076.09,2.3383,1.07961,1.2015,0.68577,0.57915,0.63513,0.39207,2.29563,1.07053,1.17909,0.0098812,0.0098812,0.0098812
26,7351.16,2.33266,1.07562,1.20083,0.67891,0.58762,0.64117,0.39863,2.24686,1.06261,1.17012,0.00987625,0.00987625,0.00987625
27,7630.74,2.32615,1.07434,1.19779,0.69467,0.58445,0.64131,0.39937,2.26395,1.05505,1.17727,0.0098713,0.0098713,0.0098713
28,7904.02,2.32374,1.07464,1.19773,0.6914,0.5886,0.64632,0.40411,2.23953,1.03735,1.17167,0.00986635,0.00986635,0.00986635
29,8182.94,2.31613,1.07254,1.19376,0.68433,0.58041,0.63949,0.40345,2.22732,1.05903,1.16222,0.0098614,0.0098614,0.0098614
30,8461.04,2.31445,1.06918,1.19736,0.68927,0.5869,0.64238,0.40228,2.24774,1.0429,1.17109,0.00985645,0.00985645,0.00985645
31,8731.78,2.30895,1.06107,1.1926,0.69719,0.59017,0.65037,0.40756,2.22978,1.03686,1.16324,0.0098515,0.0098515,0.0098515
32,8998.92,2.30651,1.06372,1.19352,0.69903,0.58498,0.64878,0.41166,2.20094,1.0364,1.16083,0.00984655,0.00984655,0.00984655
33,9267.8,2.29981,1.06007,1.19193,0.6919,0.59468,0.65209,0.41432,2.19916,1.01543,1.1603,0.0098416,0.0098416,0.0098416
34,9539.29,2.29306,1.05519,1.18782,0.69521,0.59026,0.64706,0.40952,2.2113,1.03332,1.16286,0.00983665,0.00983665,0.00983665
35,9813.11,2.29414,1.05789,1.19146,0.70441,0.58822,0.65226,0.41561,2.19213,1.02285,1.16239,0.0098317,0.0098317,0.0098317
36,10131,2.28588,1.04989,1.18795,0.6979,0.59404,0.65486,0.41519,2.19544,1.01407,1.15856,0.00982675,0.00982675,0.00982675
37,10489,2.28668,1.05233,1.19004,0.69802,0.60332,0.65746,0.41749,2.18299,1.00332,1.15588,0.0098218,0.0098218,0.0098218
38,10823.7,2.28601,1.052,1.18786,0.69819,0.60064,0.65755,0.41744,2.17458,1.01064,1.15467,0.00981685,0.00981685,0.00981685
39,11163.3,2.28383,1.04633,1.18687,0.69321,0.60899,0.66045,0.42061,2.16736,0.99847,1.15302,0.0098119,0.0098119,0.0098119
40,11499.3,2.27212,1.04379,1.18527,0.69228,0.60719,0.66019,0.42045,2.16326,1.00498,1.15053,0.00980695,0.00980695,0.00980695
41,11832,2.27228,1.04412,1.18539,0.69589,0.60566,0.66224,0.42128,2.16223,0.99813,1.1521,0.009802,0.009802,0.009802
42,12163,2.28021,1.04512,1.18458,0.69585,0.60512,0.66088,0.42169,2.16084,1.00081,1.15225,0.00979705,0.00979705,0.00979705
43,12498.3,2.26321,1.03344,1.18262,0.7003,0.60736,0.66417,0.42359,2.15401,0.99135,1.15014,0.0097921,0.0097921,0.0097921
44,12838.8,2.27304,1.04119,1.18412,0.70099,0.60762,0.66459,0.42527,2.14894,0.99064,1.15087,0.00978715,0.00978715,0.00978715
45,13190.7,2.25935,1.0374,1.17957,0.69811,0.61255,0.6668,0.42688,2.14643,0.9849,1.14799,0.0097822,0.0097822,0.0097822
46,13531.3,2.2582,1.03193,1.18103,0.70297,0.60651,0.66591,0.42677,2.1438,0.98402,1.15066,0.00977725,0.00977725,0.00977725
47,13872.3,2.25983,1.03557,1.1806,0.69589,0.61499,0.66642,0.42834,2.13717,0.98148,1.14413,0.0097723,0.0097723,0.0097723
48,14202.9,2.25569,1.03426,1.17821,0.69641,0.61445,0.66813,0.42865,2.13308,0.97786,1.14359,0.00976735,0.00976735,0.00976735
49,14545.2,2.25393,1.03339,1.18111,0.70074,0.60847,0.66811,0.42859,2.12869,0.97803,1.14527,0.0097624,0.0097624,0.0097624
