epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,323.932,4.13206,2.05318,1.97381,0.5691,0.44277,0.46803,0.23911,5.17149,2.09417,2.67474,0.00332944,0.00332944,0.00332944
2,645.202,3.22953,1.46931,1.57058,0.61834,0.483,0.51542,0.27752,5.0146,1.78128,2.72287,0.00665947,0.00665947,0.00665947
3,962.391,3.22126,1.48795,1.57371,0.52005,0.40706,0.40364,0.2005,5.30547,2.0178,2.9056,0.00998621,0.00998621,0.00998621
4,1281.27,3.24668,1.5301,1.60149,0.58544,0.45629,0.46909,0.24513,5.13882,1.95642,2.91489,0.00998515,0.00998515,0.00998515
5,1597.45,3.04964,1.42646,1.52832,0.64524,0.48858,0.53082,0.30082,4.90813,1.61863,2.7067,0.0099802,0.0099802,0.0099802
6,1912.75,2.93246,1.36045,1.48829,0.65193,0.52751,0.56341,0.32696,4.74065,1.58404,2.59413,0.00997525,0.00997525,0.00997525
7,2228.09,2.84231,1.3204,1.45726,0.65562,0.54006,0.58184,0.34652,4.7082,1.50744,2.57832,0.0099703,0.0099703,0.0099703
8,2542.39,2.77861,1.29343,1.43763,0.66658,0.54886,0.59656,0.35908,4.60088,1.47109,2.57345,0.00996535,0.00996535,0.00996535
9,2858.3,2.7281,1.26184,1.41679,0.67107,0.56035,0.60631,0.36723,4.54197,1.44778,2.50251,0.0099604,0.0099604,0.0099604
10,3175.13,2.67996,1.24152,1.3988,0.66362,0.56983,0.61562,0.37798,4.48751,1.43574,2.48833,0.00995545,0.00995545,0.00995545
11,3489.29,2.65403,1.22582,1.38759,0.6719,0.57686,0.62018,0.38405,4.47426,1.40224,2.42292,0.0099505,0.0099505,0.0099505
12,3804.98,2.62819,1.21063,1.37637,0.67351,0.58451,0.63005,0.39334,4.45971,1.40124,2.50386,0.00994555,0.00994555,0.00994555
