epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.5258,2.03959,8.50091,1.68645,0.00021,0.43945,0.00101,0.00043,0.24835,707.934,0.18469,0.0024,0.0024,0.0024
2,76.7105,1.82778,6.54176,1.4984,0.00027,0.57439,0.02294,0.00924,0.25709,685.316,0.18485,0.00489515,0.00489515,0.00489515
3,109.887,1.96501,5.16575,1.55308,0.01597,0.19031,0.02949,0.01388,0.2856,251.697,0.23,0.00738535,0.00738535,0.00738535
4,138.195,2.33585,3.50063,1.78388,0.00642,0.04844,0.00139,0.00039,0.38117,6103.32,0.31967,0.0098706,0.0098706,0.0098706
5,158.471,2.38792,2.93452,1.91536,0.01818,0.08239,0.0073,0.00186,0.36499,1800.57,0.3767,0.0099604,0.0099604,0.0099604
6,181.145,2.36601,2.72802,1.93968,0.00871,0.0519,0.00221,0.0007,0.35128,5975.07,0.31919,0.0099505,0.0099505,0.0099505
57,1297.49,1.79449,1.69477,1.5293,0.38866,0.32998,0.26954,0.12887,0.23732,70.1593,0.20512,0.0094456,0.0094456,0.0094456
58,1318.08,1.71947,1.71397,1.49529,0.49531,0.39393,0.34567,0.15301,0.23512,3.62911,0.19885,0.0094357,0.0094357,0.0094357
59,1339.75,1.71637,1.68314,1.5014,0.39427,0.40138,0.31308,0.12616,0.2482,50.5115,0.21078,0.0094258,0.0094258,0.0094258
60,1361.38,1.77761,1.70894,1.51969,0.41698,0.22837,0.20002,0.07992,0.26122,9.82935,0.23051,0.0094159,0.0094159,0.0094159
61,1383.05,1.7418,1.72282,1.53192,0.3936,0.3737,0.30783,0.12955,0.24796,13.1144,0.21643,0.009406,0.009406,0.009406
62,1407.26,1.72131,1.66699,1.51246,0.28857,0.28374,0.18481,0.07234,0.2523,81.6774,0.21224,0.0093961,0.0093961,0.0093961
63,1426.18,1.75141,1.69937,1.52729,0.46168,0.31834,0.32294,0.14088,0.24707,29.2669,0.20762,0.0093862,0.0093862,0.0093862
64,1447.29,1.70959,1.63757,1.50056,0.45072,0.3391,0.31866,0.13688,0.24264,9.00967,0.20508,0.0093763,0.0093763,0.0093763
65,1467.02,1.72984,1.6503,1.50258,0.40702,0.38754,0.33291,0.14346,0.24104,2.06391,0.20204,0.0093664,0.0093664,0.0093664
66,1487.38,1.72094,1.5976,1.47436,0.40295,0.39446,0.3178,0.13959,0.24423,0.49239,0.20347,0.0093565,0.0093565,0.0093565
67,1509.83,1.68709,1.60698,1.49221,0.35615,0.36941,0.27801,0.11314,0.25318,19.7243,0.21964,0.0093466,0.0093466,0.0093466
68,1530.8,1.6675,1.65684,1.48024,0.45852,0.41869,0.36356,0.15689,0.23261,6.02443,0.19951,0.0093367,0.0093367,0.0093367
69,1552.96,1.72818,1.62324,1.50973,0.31595,0.31804,0.23637,0.09769,0.25168,7.55972,0.21385,0.0093268,0.0093268,0.0093268
70,1574.08,1.68764,1.61861,1.49014,0.48745,0.35869,0.32337,0.14035,0.24204,3.14796,0.20487,0.0093169,0.0093169,0.0093169
71,1595.81,1.68111,1.60254,1.48202,0.46885,0.39446,0.33026,0.13993,0.2406,53.3814,0.20497,0.009307,0.009307,0.009307
72,1617.35,1.69101,1.61321,1.48826,0.44481,0.39446,0.32431,0.13296,0.24078,81.1278,0.2115,0.0092971,0.0092971,0.0092971
73,1638.81,1.67496,1.61048,1.51058,0.35952,0.24862,0.22235,0.10996,0.25418,1.10477,0.22134,0.0092872,0.0092872,0.0092872
74,1662.81,1.63679,1.56389,1.4552,0.42664,0.42215,0.35033,0.15879,0.23491,2.7974,0.2016,0.0092773,0.0092773,0.0092773
75,1683.55,1.63799,1.59291,1.45096,0.41063,0.41949,0.3419,0.15668,0.23374,1.25093,0.19706,0.0092674,0.0092674,0.0092674
76,1706.6,1.6777,1.62009,1.4498,0.50668,0.3391,0.32536,0.15302,0.23408,81.1351,0.1978,0.0092575,0.0092575,0.0092575
77,1726.86,1.65475,1.58323,1.44738,0.4139,0.36678,0.32748,0.14054,0.2443,15.9472,0.20347,0.0092476,0.0092476,0.0092476
78,1747.84,1.61126,1.48775,1.43351,0.28183,0.21453,0.13994,0.0584,0.25218,3.76465,0.2147,0.0092377,0.0092377,0.0092377
79,1769.61,1.63967,1.57001,1.44129,0.36899,0.35986,0.28375,0.12289,0.23998,20.3221,0.20174,0.0092278,0.0092278,0.0092278
80,1790.9,1.66599,1.59396,1.46674,0.33802,0.36678,0.26077,0.11516,0.24144,109.506,0.20911,0.0092179,0.0092179,0.0092179
81,1812,1.65084,1.57418,1.48082,0.33691,0.29066,0.24213,0.11004,0.24797,122.698,0.206,0.009208,0.009208,0.009208
82,1835.16,1.6165,1.53263,1.42322,0.47187,0.39792,0.3776,0.15702,0.23838,1.92571,0.20499,0.0091981,0.0091981,0.0091981
83,1856.46,1.65387,1.51393,1.44337,0.42018,0.41625,0.31265,0.1329,0.24287,1.7924,0.20642,0.0091882,0.0091882,0.0091882
84,1879.82,1.58737,1.49163,1.41801,0.40087,0.3737,0.29529,0.13497,0.2379,70.9498,0.20864,0.0091783,0.0091783,0.0091783
85,1901.77,1.67456,1.53993,1.45999,0.49368,0.41176,0.39281,0.14745,0.25443,1.10858,0.21122,0.0091684,0.0091684,0.0091684
86,1924.49,1.56759,1.52382,1.40571,0.48953,0.37829,0.32938,0.14827,0.24612,1.25046,0.21196,0.0091585,0.0091585,0.0091585
87,1947.05,1.6076,1.54551,1.43014,0.46618,0.40138,0.32706,0.1569,0.23456,6.91166,0.20174,0.0091486,0.0091486,0.0091486
88,1968.13,1.65057,1.54731,1.43108,0.38202,0.38062,0.31844,0.12852,0.24973,4.76562,0.21096,0.0091387,0.0091387,0.0091387
89,1990.18,1.61145,1.51634,1.42718,0.39951,0.39446,0.3219,0.13809,0.23945,18.3539,0.20084,0.0091288,0.0091288,0.0091288
90,2011.6,1.60613,1.50164,1.42721,0.37734,0.41176,0.32665,0.14032,0.235,1.21742,0.19853,0.0091189,0.0091189,0.0091189
91,2033.64,1.63887,1.49468,1.42828,0.46192,0.42215,0.35805,0.15677,0.23728,2.05553,0.20389,0.009109,0.009109,0.009109
92,2057.08,1.58172,1.5215,1.40068,0.43061,0.36332,0.31875,0.13888,0.24557,1.86538,0.21347,0.0090991,0.0090991,0.0090991
93,2079.99,1.55503,1.46389,1.39369,0.44398,0.3737,0.3141,0.13803,0.23556,21.6894,0.2038,0.0090892,0.0090892,0.0090892
94,2100.76,1.60072,1.46957,1.41348,0.49252,0.40138,0.35702,0.14208,0.23771,0.68692,0.20947,0.0090793,0.0090793,0.0090793
95,2122.4,1.62123,1.48898,1.42534,0.50483,0.46021,0.37452,0.1667,0.23484,0.2615,0.20448,0.0090694,0.0090694,0.0090694
96,2146,1.57217,1.45963,1.3985,0.49035,0.38754,0.3567,0.15428,0.24294,43.6003,0.20924,0.0090595,0.0090595,0.0090595
97,2167.67,1.59416,1.43044,1.41329,0.50808,0.37024,0.34813,0.14338,0.24675,3.18132,0.20741,0.0090496,0.0090496,0.0090496
98,2189.35,1.60444,1.42607,1.38524,0.41196,0.39513,0.31987,0.13975,0.24262,104.667,0.206,0.0090397,0.0090397,0.0090397
99,2210.06,1.57422,1.45394,1.39556,0.48632,0.40622,0.34939,0.15461,0.24466,0.36468,0.20737,0.0090298,0.0090298,0.0090298
100,2232.79,1.58582,1.48674,1.42044,0.4605,0.391,0.31768,0.14411,0.23355,15.2406,0.20259,0.0090199,0.0090199,0.0090199
101,2253.55,1.57487,1.42113,1.40599,0.41696,0.43305,0.3176,0.14184,0.23565,2.86669,0.20053,0.00901,0.00901,0.00901
102,2274.6,1.54472,1.35681,1.38539,0.42596,0.45675,0.32572,0.13719,0.23969,1.68305,0.20074,0.0090001,0.0090001,0.0090001
103,2296.06,1.54927,1.38673,1.36977,0.47348,0.3564,0.3092,0.12876,0.24218,33.2734,0.20354,0.0089902,0.0089902,0.0089902
104,2316.83,1.57493,1.45397,1.40133,0.42489,0.43599,0.32422,0.1368,0.24916,15.0223,0.20896,0.0089803,0.0089803,0.0089803
105,2338.53,1.61646,1.45209,1.40369,0.40026,0.38062,0.26712,0.1136,0.24127,58.4455,0.20936,0.0089704,0.0089704,0.0089704
106,2359.84,1.52084,1.44919,1.36761,0.44998,0.44291,0.38364,0.17593,0.2367,18.5612,0.20071,0.0089605,0.0089605,0.0089605
107,2380.99,1.56065,1.37106,1.37107,0.47918,0.41176,0.38879,0.1666,0.24631,0.53953,0.20964,0.0089506,0.0089506,0.0089506
108,2404.24,1.61351,1.47965,1.43112,0.45315,0.42561,0.34796,0.15038,0.24243,66.7486,0.20609,0.0089407,0.0089407,0.0089407
109,2424.92,1.53844,1.39473,1.3834,0.46698,0.4083,0.36779,0.16121,0.23861,11.534,0.19787,0.0089308,0.0089308,0.0089308
110,2445.32,1.55054,1.38291,1.37344,0.51519,0.39792,0.3594,0.15936,0.23756,1.52011,0.2025,0.0089209,0.0089209,0.0089209
111,2466.37,1.54257,1.40521,1.37124,0.40168,0.17301,0.14862,0.06205,0.24663,0.76254,0.21584,0.008911,0.008911,0.008911
112,2487.41,1.53515,1.40163,1.38005,0.4776,0.41758,0.35625,0.1477,0.24244,0.4933,0.20761,0.0089011,0.0089011,0.0089011
113,2509.3,1.53699,1.35777,1.35551,0.485,0.43945,0.37764,0.16812,0.23665,20.5302,0.20473,0.0088912,0.0088912,0.0088912
114,2530.15,1.50278,1.36606,1.35861,0.47157,0.37363,0.34077,0.15008,0.24379,29.816,0.20865,0.0088813,0.0088813,0.0088813
115,2550.31,1.51465,1.3663,1.35413,0.50432,0.42561,0.36895,0.1549,0.24288,10.9249,0.20778,0.0088714,0.0088714,0.0088714
116,2572.61,1.47119,1.33917,1.34872,0.47811,0.38754,0.34817,0.15213,0.24333,27.0974,0.20722,0.0088615,0.0088615,0.0088615
117,2593.96,1.46602,1.30795,1.32446,0.50031,0.45675,0.38438,0.18261,0.23466,3.99389,0.19541,0.0088516,0.0088516,0.0088516
118,2613.81,1.49849,1.2789,1.33712,0.45085,0.4801,0.39704,0.18875,0.23033,0.82931,0.19491,0.0088417,0.0088417,0.0088417
119,2635.46,1.48006,1.35118,1.34228,0.5259,0.38754,0.36241,0.15515,0.24165,2.73645,0.20549,0.0088318,0.0088318,0.0088318
120,2657.11,1.51693,1.38816,1.35026,0.53067,0.42254,0.3615,0.15551,0.2364,44.6182,0.20194,0.0088219,0.0088219,0.0088219
121,2677.61,1.56018,1.36986,1.36966,0.50379,0.43945,0.40094,0.16517,0.24299,1.38793,0.20743,0.008812,0.008812,0.008812
